WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-33.320483,-174.686645,23.903023,23.164459,10.874576,-17.748440,11.498080,-20.114662,-68.717239,1.850238,-1.407484,1.029598,14.530811,10.594757,-35.642202,1.659495,-1.570003,0.978568,-19.007850,31.336312,-3.955776,2.546826,-1.983440,0.387983,-20.077383,25.730648,-20.763092,3.293907,-0.420894,-0.626692,-0.000001,0.000001,-0.000001,1.987899,0.749942,-1.244159,-12.342768,-1.051758,-3.350135,8.211318,-1.303817,5.395246,-5.906175,-7.211911,2.042732,3.703318,0.100064,0.812523,-3.130300,0.741557,1.701099,2.404961,-0.233268,0.261554,-0.000000,0.000000,-0.000000,2.231933,-0.085273,0.154228,-37.385063,-34.569091,7.037408,8.689596,0.367514,3.991618,-36.807026,-91.776533,31.974144,3.715644,-1.916253,-0.974272,-40.024602,-54.812760,14.387479,-1.428332,-1.943853,-1.330823,0.000000,0.000000,0.000000,-2.492949,-0.033787,0.174370,-38.646192,-49.413606,15.297321,8.753296,1.132854,2.058872,-30.526104,-87.472465,27.837257,2.934517,-2.349932,-1.036030,-27.235348,-62.884042,17.294301,-1.655013,-1.869225,-0.910149,0.000000,0.000000,-0.000000,-2.391074,0.330035,0.343465,-11.449263,-6.029950,26.676974,4.057158,0.842925,-0.784655,-18.408255,-53.291218,-7.222482,4.458695,0.678298,0.706862,-26.730920,-75.355542,16.168439,2.112944,-2.184706,-0.447147,-15.982903,-67.405107,18.319475,-1.077617,-1.639142,-0.526748,0.000000,0.000000,0.000000,-2.163404,0.188383,0.324777,1
-33.215696,-175.333664,23.595686,23.109501,11.004634,-17.760474,12.252633,-20.695136,-68.647026,1.832747,-1.428464,1.031985,14.994072,10.542896,-35.411898,1.640184,-1.588400,0.981435,-19.028882,31.009696,-4.105959,2.521727,-2.013668,0.396135,-19.824063,25.238227,-20.887986,3.287381,-0.479639,-0.618698,-0.000001,0.000001,-0.000001,2.007468,0.698008,-1.242959,-12.082043,-1.026416,-3.511390,8.206470,-1.393254,5.380248,-5.673694,-6.950317,1.989874,3.703752,0.057688,0.814657,-3.011663,0.912391,1.713141,2.401956,-0.249538,0.273868,-0.000000,0.000000,-0.000000,2.230459,-0.092965,0.170269,-37.320726,-34.733413,6.512228,8.704744,0.263844,3.966734,-36.894821,-91.943713,31.348141,3.679615,-1.983118,-0.977200,-40.033349,-54.917647,13.748930,-1.472115,-1.921919,-1.314873,0.000000,0.000000,0.000000,-2.491920,0.019823,0.190482,-38.586230,-49.473539,14.701045,8.774121,1.018258,2.029892,-30.559768,-87.788855,27.372143,2.894456,-2.400869,-1.031929,-27.209793,-62.959503,16.845598,-1.696677,-1.839794,-0.893245,-0.000000,0.000000,-0.000000,-2.381758,0.381905,0.354266,-11.799818,-6.094967,26.533397,4.066633,0.780841,-0.799702,-17.971235,-53.254862,-7.490964,4.469821,0.618159,0.691583,-26.590562,-75.930510,15.911441,2.084254,-2.213587,-0.439698,-15.903104,-67.548694,18.099122,-1.114578,-1.618933,-0.512134,-0.000000,0.000000,-0.000000,-2.156603,0.239507,0.336133,1
-33.119068,-175.871268,23.330384,23.058942,11.158360,-17.778460,12.824917,-21.115653,-68.598593,1.819155,-1.443349,1.035318,15.396733,10.610710,-35.141568,1.625378,-1.601314,0.985075,-19.082071,30.615343,-4.105869,2.503278,-2.034409,0.407023,-19.612846,24.583926,-20.815450,3.282317,-0.526794,-0.607122,0.000000,0.000000,0.000000,2.026485,0.649564,-1.238352,-11.900034,-1.107558,-3.658345,8.202208,-1.456467,5.369995,-5.581391,-6.864195,1.934648,3.702949,0.026630,0.819899,-2.973043,0.982311,1.701171,2.399376,-0.258356,0.287947,0.000000,-0.000000,0.000000,2.229018,-0.093773,0.187802,-37.193989,-34.871700,6.070530,8.715621,0.187952,3.947123,-36.945961,-92.161699,30.821849,3.649962,-2.037200,-0.977157,-40.032834,-55.072678,13.226342,-1.508359,-1.903632,-1.300317,0.000000,0.000000,0.000000,-2.490004,0.065756,0.204685,-38.451689,-49.482586,14.179855,8.789121,0.931851,2.006370,-30.554122,-88.130964,26.971403,2.862712,-2.441288,-1.025633,-27.160268,-63.060656,16.453477,-1.730888,-1.815133,-0.877931,0.000000,0.000000,0.000000,-2.373016,0.425617,0.363003,-12.061998,-6.156351,26.420748,4.073239,0.732055,-0.812132,-17.556880,-53.176213,-7.740078,4.477818,0.572418,0.679105,-26.421725,-76.343445,15.646598,2.063503,-2.234649,-0.430940,-15.779534,-67.680622,17.877927,-1.144990,-1.601900,-0.498421,-0.000000,0.000000,-0.000000,-2.149828,0.282847,0.345715,1
-32.949865,-176.547495,23.196047,23.044782,11.241309,-17.795455,13.340881,-21.621164,-68.533134,1.806003,-1.460571,1.034191,15.832402,10.641212,-34.858261,1.611614,-1.616308,0.983199,-19.084366,30.244693,-4.116074,2.486663,-2.053038,0.415244,-19.343275,23.896935,-20.724985,3.276907,-0.571850,-0.595470,-0.000000,0.000000,-0.000000,2.047736,0.596546,-1.230041,-11.706775,-1.180774,-3.810094,8.202601,-1.532186,5.348282,-5.504333,-6.769093,1.884805,3.703698,-0.014945,0.816806,-2.939846,1.051540,1.686042,2.396532,-0.281208,0.290208,0.000000,-0.000000,0.000000,2.227851,-0.111783,0.191745,-37.097463,-34.953131,5.639218,8.730023,0.101648,3.918357,-37.060805,-92.393076,30.431220,3.619916,-2.088286,-0.981079,-40.096941,-55.199073,12.755440,-1.545580,-1.881803,-1.288327,-0.000000,0.000000,-0.000000,-2.486921,0.113073,0.220861,-38.363788,-49.441372,13.698010,8.805640,0.838343,1.974939,-30.608253,-88.474077,26.701294,2.831597,-2.478021,-1.023916,-27.175215,-63.147565,16.146670,-1.764635,-1.788638,-0.865030,0.000000,0.000000,0.000000,-2.363208,0.468878,0.373534,-12.349361,-6.170810,26.300282,4.078624,0.683030,-0.827668,-17.186155,-53.086805,-7.903423,4.486226,0.523655,0.662774,-26.306106,-76.753178,15.501867,2.042646,-2.254438,-0.427222,-15.715102,-67.796810,17.762469,-1.170803,-1.586439,-0.487792,-0.000000,-0.000002,0.000000,-2.143202,0.319521,0.354788,1
-32.756889,-177.090098,22.985901,23.031668,11.311888,-17.809244,13.789461,-22.011919,-68.485596,1.794473,-1.473875,1.035386,16.235882,10.776635,-34.532086,1.599958,-1.627754,0.983353,-19.150217,29.863413,-4.061078,2.474043,-2.065590,0.428181,-19.174432,23.270245,-20.594186,3.272867,-0.610263,-0.579341,-0.000000,0.000000,-0.000000,2.068966,0.544551,-1.218578,-11.534036,-1.276575,-3.942297,8.200984,-1.590356,5.333760,-5.460913,-6.731669,1.834560,3.703300,-0.050213,0.817201,-2.931182,1.083531,1.666303,2.393672,-0.300179,0.294772,-0.000000,0.000000,-0.000000,2.226558,-0.126552,0.197503,-36.965937,-35.049601,5.258466,8.740487,0.032752,3.896148,-37.113176,-92.585271,30.010052,3.593961,-2.133208,-0.979854,-40.111139,-55.348013,12.328224,-1.578127,-1.862661,-1.276633,0.000000,0.000000,-0.000000,-2.483289,0.156691,0.234657,-38.242664,-49.437097,13.278116,8.818272,0.761128,1.949683,-30.587402,-88.734137,26.387983,2.805613,-2.509898,-1.017781,-27.125608,-63.233573,15.849668,-1.793931,-1.765270,-0.852686,0.000000,0.000000,-0.000000,-2.353808,0.508172,0.381412,-12.583333,-6.203064,26.196747,4.082901,0.640480,-0.840500,-16.842364,-53.066752,-8.056158,4.492721,0.482977,0.649533,-26.145211,-77.033290,15.298213,2.026549,-2.270243,-0.420134,-15.603446,-67.868054,17.613148,-1.192769,-1.573256,-0.477154,-0.000000,0.000000,-0.000000,-2.136975,0.352022,0.361530,1
-32.984776,-177.242208,22.555584,23.024656,11.365978,-17.812712,14.272939,-21.841678,-68.531862,1.782337,-1.475756,1.053510,16.524142,11.279929,-34.100008,1.589169,-1.628822,0.998956,-19.370835,29.375221,-3.715433,2.469304,-2.062839,0.467036,-19.174450,22.701641,-20.259759,3.276133,-0.631132,-0.536970,0.000001,-0.000001,0.000001,2.093813,0.502889,-1.193792,-11.370938,-1.382638,-4.031718,8.168425,-1.595086,5.382091,-5.395130,-6.721769,1.762529,3.697223,-0.066922,0.843111,-2.922269,1.088706,1.667679,2.389846,-0.310101,0.314862,0.000000,-0.000000,0.000000,2.224338,-0.134561,0.216328,-36.780216,-35.173457,4.811782,8.722597,0.015626,3.936140,-37.244527,-92.733036,29.226075,3.585322,-2.162652,-0.946386,-40.100491,-55.475001,11.707581,-1.590720,-1.855485,-1.271443,-0.000001,0.000001,-0.000000,-2.481720,0.187122,0.228899,-38.064583,-49.448756,12.714632,8.812933,0.730503,1.985218,-30.639483,-88.963636,25.684502,2.798244,-2.531007,-0.985271,-27.063008,-63.313552,15.251384,-1.806268,-1.754692,-0.848466,0.000000,0.000000,-0.000000,-2.349901,0.533987,0.370068,-12.641266,-6.424075,26.142969,4.089853,0.614570,-0.825920,-16.566068,-52.933955,-8.540931,4.492051,0.465059,0.667010,-26.056314,-77.269654,14.706613,2.020946,-2.279952,-0.393711,-15.495108,-67.966153,17.077663,-1.202592,-1.567634,-0.470960,0.000000,0.000000,0.000000,-2.135293,0.372061,0.351254,1
-33.045511,-177.506673,22.192358,23.025068,11.412058,-17.809361,14.698468,-21.842488,-68.547220,1.771344,-1.480312,1.065590,16.796057,11.607767,-33.767705,1.579427,-1.632338,1.008620,-19.504864,28.957326,-3.499623,2.464027,-2.061864,0.498174,-19.119660,22.207863,-20.052466,3.277205,-0.653229,-0.502929,0.000000,-0.000000,-0.000000,2.115081,0.461419,-1.172865,-11.270644,-1.474555,-4.118370,8.147868,-1.612968,5.407860,-5.362836,-6.740641,1.705928,3.692945,-0.088270,0.859733,-2.928838,1.082912,1.655930,2.386304,-0.322900,0.328563,-0.000000,0.000000,-0.000000,2.222365,-0.145422,0.229190,-36.600046,-35.267003,4.423736,8.714585,-0.013916,3.953854,-37.296585,-92.791397,28.547938,3.572015,-2.194268,-0.923657,-40.043675,-55.555936,11.183472,-1.607998,-1.845390,-1.264383,0.000000,0.000000,-0.000000,-2.479034,0.219615,0.229126,-37.893168,-49.451657,12.242562,8.813130,0.689208,1.999061,-30.622934,-89.121480,25.110710,2.785751,-2.553548,-0.962244,-26.967961,-63.371967,14.782360,-1.822053,-1.741616,-0.841628,-0.000000,0.000000,-0.000000,-2.344355,0.561242,0.364874,-12.743786,-6.574357,26.077760,4.095115,0.585376,-0.821040,-16.277243,-52.877251,-8.881380,4.493401,0.442029,0.673542,-25.917560,-77.391687,14.226494,2.011607,-2.291368,-0.374817,-15.361843,-68.022581,16.682464,-1.215291,-1.560103,-0.463308,0.000002,-0.000000,0.000000,-2.132160,0.393704,0.346662,1
-33.020476,-177.821630,21.832581,23.028335,11.454274,-17.801353,15.102539,-21.928385,-68.547596,1.760745,-1.486238,1.074867,17.070738,11.870433,-33.464043,1.570147,-1.637115,1.015345,-19.605907,28.564876,-3.338176,2.457137,-2.064337,0.521418,-19.038854,21.730133,-19.891981,3.276161,-0.677609,-0.476791,-0.000001,0.000001,-0.000001,2.132100,0.422647,-1.156550,-11.179725,-1.562992,-4.206741,8.132931,-1.637716,5.422885,-5.336738,-6.760735,1.655517,3.690505,-0.111112,0.867526,-2.939486,1.075568,1.639476,2.383237,-0.338256,0.335302,0.000000,-0.000000,0.000000,2.220784,-0.159489,0.235082,-36.418591,-35.353306,4.058563,8.711276,-0.050191,3.960847,-37.313635,-92.835500,27.924300,3.557144,-2.225576,-0.905969,-39.971696,-55.633666,10.700830,-1.623698,-1.836740,-1.256893,0.000000,0.000000,0.000000,-2.476495,0.246967,0.228742,-37.719605,-49.449716,11.808054,8.815943,0.641850,2.002421,-30.572594,-89.267506,24.600386,2.770936,-2.576448,-0.943800,-26.857066,-63.426796,14.371102,-1.837185,-1.729421,-0.833845,-0.000000,0.000000,-0.000000,-2.338935,0.585666,0.361255,-12.869842,-6.691872,26.005599,4.099507,0.554042,-0.820864,-15.975530,-52.852768,-9.155181,4.495697,0.416040,0.674778,-25.753015,-77.509133,13.812384,1.999104,-2.304663,-0.359898,-15.215954,-68.064421,16.355050,-1.227011,-1.553220,-0.455478,-0.000000,0.000000,-0.000000,-2.129121,0.412430,0.343552,1
-33.317684,-177.767760,21.391034,23.023965,11.485660,-17.809085,15.412139,-21.539869,-68.619841,1.751882,-1.482254,1.094668,17.209560,12.377214,-33.121190,1.563892,-1.633045,1.031424,-19.764390,28.116306,-2.922881,2.457959,-2.053643,0.558458,-19.068320,21.337591,-19.559862,3.280849,-0.684477,-0.432710,-0.000000,0.000000,-0.000000,2.152165,0.395835,-1.128534,-11.117922,-1.632667,-4.247085,8.096015,-1.616749,5.484071,-5.302718,-6.793365,1.596976,3.683792,-0.113710,0.895275,-2.944316,1.053535,1.643914,2.380024,-0.340865,0.354910,0.000000,-0.000000,0.000000,2.218665,-0.161938,0.252755,-36.255946,-35.411820,3.702541,8.685775,-0.038475,4.016589,-37.456200,-92.837704,27.178647,3.559123,-2.237862,-0.867102,-39.947625,-55.653336,10.162605,-1.621782,-1.837795,-1.257823,0.000000,0.000000,-0.000000,-2.476516,0.260028,0.213537,-37.565408,-49.415605,11.340228,8.803843,0.642066,2.054897,-30.651944,-89.382682,23.927150,2.775117,-2.584624,-0.908501,-26.808110,-63.450444,13.813293,-1.837831,-1.727840,-0.835696,0.000000,0.000000,-0.000000,-2.338731,0.596862,0.343832,-12.828971,-6.927332,25.988435,4.105388,0.543982,-0.797877,-15.824233,-52.720731,-9.630154,4.491852,0.414140,0.701038,-25.730682,-77.576559,13.204860,2.000259,-2.307724,-0.332848,-15.146940,-68.111679,15.805522,-1.227924,-1.552978,-0.453842,0.000002,-0.000000,0.000000,-2.130128,0.419673,0.328195,1
-33.462681,-177.886437,21.018067,23.026680,11.523828,-17.811195,15.750589,-21.371072,-68.654156,1.742517,-1.482556,1.109110,17.361907,12.689707,-32.877185,1.556751,-1.632851,1.042476,-19.844357,27.728543,-2.669729,2.455318,-2.048759,0.587271,-18.997097,20.928982,-19.346873,3.282309,-0.698214,-0.398323,-0.000001,0.000001,-0.000001,2.169111,0.365607,-1.106063,-11.088824,-1.728220,-4.311835,8.069960,-1.615959,5.522571,-5.275353,-6.819902,1.546991,3.679219,-0.124665,0.912458,-2.959102,1.029070,1.634281,2.376943,-0.348935,0.367494,0.000000,-0.000000,0.000000,2.216800,-0.169607,0.263846,-36.106657,-35.498174,3.372799,8.670768,-0.047759,4.048784,-37.509507,-92.761762,26.474533,3.553674,-2.257313,-0.838562,-39.865123,-55.641584,9.661712,-1.626797,-1.835135,-1.255227,0.000000,0.000000,-0.000000,-2.475370,0.277602,0.204509,-37.412477,-49.407640,10.916843,8.798484,0.621738,2.083899,-30.654744,-89.433775,23.324008,2.771249,-2.598096,-0.881481,-26.715735,-63.462370,13.340970,-1.844032,-1.722324,-0.833421,0.000000,0.000000,-0.000000,-2.336378,0.612264,0.332560,-12.861258,-7.102239,25.946592,4.110218,0.525000,-0.785635,-15.616292,-52.650737,-9.986884,4.490704,0.401888,0.715375,-25.632088,-77.624088,12.698083,1.994856,-2.315273,-0.312209,-15.033169,-68.123377,15.373223,-1.233595,-1.549730,-0.449543,-0.000000,0.000000,-0.000000,-2.129245,0.431338,0.318665,1
-33.656330,-177.753083,20.860042,23.030575,11.545866,-17.826570,15.720429,-20.977726,-68.723681,1.741452,-1.475047,1.120733,17.354491,13.016387,-32.720892,1.558832,-1.625847,1.050285,-19.858843,27.370320,-2.261530,2.463360,-2.033000,0.607994,-18.977750,20.595045,-19.012753,3.287201,-0.692561,-0.366586,-0.000000,-0.000000,0.000000,2.183671,0.351718,-1.081649,-11.097649,-1.790130,-4.310671,8.049081,-1.580254,5.563224,-5.259078,-6.834834,1.525589,3.675150,-0.116542,0.929764,-2.962146,1.008872,1.643248,2.375796,-0.344048,0.379329,0.000000,-0.000000,0.000000,2.215831,-0.165353,0.274467,-36.044129,-35.552170,3.273158,8.652349,-0.014113,4.088252,-37.608459,-92.713170,26.144791,3.562190,-2.252496,-0.815050,-39.872963,-55.621114,9.455599,-1.617307,-1.840673,-1.259375,0.000000,0.000000,-0.000000,-2.476657,0.274926,0.192167,-37.334564,-49.383299,10.756444,8.787196,0.650820,2.122294,-30.722194,-89.490230,23.032633,2.783647,-2.591931,-0.860309,-26.710664,-63.453203,13.084937,-1.837140,-1.727471,-0.837975,0.000000,0.000000,-0.000000,-2.338870,0.609335,0.320194,-12.751170,-7.232060,25.973410,4.112316,0.534193,-0.768263,-15.623292,-52.544335,-10.222854,4.486299,0.415862,0.734765,-25.652573,-77.666768,12.437341,2.003867,-2.309491,-0.296958,-15.005967,-68.113232,15.093011,-1.228384,-1.553504,-0.450784,-0.000000,0.000000,0.000000,-2.131702,0.426704,0.308310,1
-33.758592,-177.748635,20.652738,23.038236,11.579783,-17.839350,15.833737,-20.763185,-68.762771,1.737391,-1.472132,1.130825,17.395120,13.226508,-32.603557,1.557366,-1.622926,1.056955,-19.883342,27.108404,-2.039714,2.465607,-2.024831,0.625884,-18.900471,20.256761,-18.795482,3.289006,-0.697618,-0.339826,0.000000,0.000000,0.000000,2.197162,0.330550,-1.060803,-11.118329,-1.858032,-4.335750,8.031455,-1.565557,5.592775,-5.235762,-6.843965,1.502797,3.672165,-0.119042,0.941173,-2.965551,0.997865,1.643477,2.374151,-0.346269,0.387517,-0.000000,0.000000,-0.000000,2.214757,-0.167900,0.281501,-35.948896,-35.597435,3.108137,8.639889,-0.004499,4.114541,-37.640256,-92.623802,25.718949,3.562303,-2.259331,-0.795404,-39.810250,-55.574688,9.174014,-1.615140,-1.842410,-1.259616,0.000000,0.000000,0.000000,-2.476846,0.279403,0.183055,-37.233055,-49.359191,10.538619,8.780997,0.653956,2.146843,-30.713452,-89.500618,22.676028,2.786566,-2.594992,-0.841426,-26.638685,-63.425790,12.802388,-1.836630,-1.727801,-0.838413,0.000000,0.000000,-0.000000,-2.339081,0.613399,0.310754,-12.722220,-7.349068,25.966084,4.114865,0.529909,-0.757506,-15.537799,-52.484262,-10.439886,4.484231,0.416323,0.747029,-25.593503,-77.673179,12.136474,2.004931,-2.310308,-0.283093,-14.924735,-68.075444,14.815432,-1.228738,-1.553757,-0.448942,-0.000000,0.000000,-0.000000,-2.132341,0.428806,0.300885,1
-33.841065,-177.798350,20.385837,23.044100,11.613615,-17.846373,16.021217,-20.640641,-68.786612,1.731733,-1.471586,1.140175,17.469662,13.396099,-32.487069,1.553743,-1.622142,1.063470,-19.909554,26.863581,-1.887197,2.463627,-2.022881,0.639830,-18.796573,19.910596,-18.630112,3.288825,-0.707381,-0.320873,0.000000,-0.000000,-0.000000,2.208059,0.307830,-1.044894,-11.143664,-1.938699,-4.378531,8.015483,-1.561735,5.616706,-5.211696,-6.853273,1.477453,3.670128,-0.126673,0.948095,-2.972161,0.987536,1.637425,2.372442,-0.351581,0.393157,0.000000,-0.000000,0.000000,2.213748,-0.173036,0.286288,-35.837367,-35.645804,2.907109,8.630536,-0.007413,4.134119,-37.640186,-92.522657,25.242698,3.558977,-2.270802,-0.777422,-39.717403,-55.528068,8.852662,-1.615115,-1.843627,-1.257867,-0.000000,0.000000,-0.000000,-2.476917,0.284477,0.174060,-37.116816,-49.337103,10.285392,8.777476,0.643487,2.164335,-30.670412,-89.501187,22.284590,2.785073,-2.602190,-0.823958,-26.537204,-63.399223,12.503501,-1.837923,-1.727291,-0.836629,0.000000,0.000000,-0.000000,-2.338980,0.618115,0.302050,-12.735595,-7.460182,25.940878,4.117672,0.518501,-0.750115,-15.402037,-52.447427,-10.648820,4.483395,0.409689,0.755662,-25.493231,-77.677834,11.817384,2.001599,-2.314739,-0.270183,-14.815114,-68.018441,14.537168,-1.231078,-1.552885,-0.445538,0.000000,0.000000,0.000000,-2.132529,0.432242,0.294567,1
-33.847232,-177.510792,20.223201,23.044047,11.623701,-17.837205,15.758896,-20.375950,-68.838600,1.738117,-1.460555,1.144637,17.333044,13.520811,-32.522353,1.563001,-1.612014,1.065302,-19.901947,26.638826,-1.640809,2.476362,-2.005155,0.646434,-18.786832,19.570692,-18.366342,3.292801,-0.693932,-0.309255,0.000001,-0.000001,0.000001,2.214554,0.302271,-1.032702,-11.212297,-2.024885,-4.341531,8.019609,-1.509950,5.624970,-5.185716,-6.854845,1.500533,3.670714,-0.110642,0.947833,-2.966208,0.984149,1.649530,2.373841,-0.341272,0.393799,0.000000,-0.000000,0.000000,2.214430,-0.163488,0.286624,-35.732155,-35.772129,3.058728,8.628054,0.043810,4.139071,-37.450179,-92.498129,25.212988,3.570129,-2.256276,-0.768532,-39.580309,-55.601410,8.969449,-1.604114,-1.854638,-1.255756,0.000000,0.000000,-0.000000,-2.478696,0.271492,0.169404,-36.955695,-49.400927,10.421790,8.773016,0.690764,2.167841,-30.459453,-89.539425,22.275611,2.800253,-2.588771,-0.814726,-26.361344,-63.402736,12.521557,-1.828319,-1.738734,-0.833964,0.000000,0.000000,0.000000,-2.342771,0.605590,0.298008,-12.594394,-7.482582,25.997539,4.115571,0.536515,-0.748976,-15.365836,-52.447599,-10.634589,4.480933,0.433012,0.757262,-25.308378,-77.726736,11.837268,2.013624,-2.305015,-0.263888,-14.615472,-67.933311,14.491760,-1.223363,-1.559964,-0.442044,0.000000,0.000000,0.000000,-2.135334,0.419705,0.292373,1
-33.880955,-177.335729,20.004693,23.041325,11.644915,-17.831874,15.656072,-20.196343,-68.877015,1.740100,-1.453879,1.150109,17.261095,13.592448,-32.561026,1.567398,-1.605769,1.068270,-19.900934,26.475699,-1.502704,2.482982,-1.994445,0.654125,-18.755711,19.310800,-18.207279,3.294695,-0.690131,-0.297354,0.000000,0.000000,0.000000,2.221814,0.290012,-1.020550,-11.241499,-2.102434,-4.334290,8.018488,-1.478181,5.634998,-5.141253,-6.832461,1.510644,3.670989,-0.105096,0.947398,-2.956468,0.990486,1.659113,2.374219,-0.337834,0.394484,-0.000000,0.000000,-0.000000,2.214618,-0.160389,0.286921,-35.598748,-35.827521,3.080519,8.625008,0.072416,4.145014,-37.296074,-92.445715,25.031725,3.574973,-2.252159,-0.758020,-39.437695,-55.640715,8.949987,-1.598024,-1.861918,-1.252744,0.000000,0.000000,-0.000000,-2.479726,0.265235,0.164166,-36.777176,-49.362325,10.406111,8.770131,0.713910,2.172012,-30.274394,-89.546952,22.130273,2.808160,-2.583618,-0.803793,-26.186319,-63.397756,12.439241,-1.823318,-1.745630,-0.830499,0.000000,0.000000,-0.000000,-2.345000,0.599278,0.293201,-12.520642,-7.527740,26.020705,4.115066,0.542235,-0.747630,-15.247787,-52.372798,-10.707584,4.479554,0.443815,0.759161,-25.134114,-77.716333,11.723626,2.018909,-2.301254,-0.256230,-14.426696,-67.865244,14.358095,-1.220031,-1.563777,-0.437762,-0.000000,0.000000,-0.000000,-2.137068,0.412700,0.289660,1
