WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-34.692350,173.882782,84.615288,20.545371,6.612828,-3.817420,2.909182,21.652698,-65.900566,1.940658,-0.988349,1.312050,13.090559,26.049086,-23.074695,1.782325,-1.301246,1.143026,-2.080217,28.559088,24.323987,2.836939,-1.007335,1.227984,-13.376898,38.469617,10.316962,2.846361,1.056362,1.483928,0.000000,0.000000,-0.000000,1.208630,2.083402,0.510628,-52.815821,-4.962322,7.062980,5.273809,-1.543788,8.248516,-62.835333,-130.676528,123.041773,3.740048,0.425707,0.464313,-65.963221,-39.431065,31.786711,-0.409998,-0.631146,-2.310892,0.000000,0.000000,-0.000000,-2.190760,-0.269046,-0.375192,-66.258626,-31.787886,29.541727,4.961390,0.666658,8.155816,-68.633962,-106.081455,90.981139,4.234560,-0.065339,-0.701055,-68.935211,-30.121033,24.841461,-0.719514,-0.869623,-2.513133,-0.000000,-0.000000,-0.000000,-2.442985,-0.510369,-0.132994,-67.869941,-55.586401,49.545142,5.065502,2.456953,7.102576,-64.981281,-92.165339,72.590545,3.726794,-0.477657,-1.043924,-58.411674,-48.555595,33.505137,-0.825972,-1.131718,-2.257970,-0.000000,-0.000000,0.000000,-2.411571,-0.338239,-0.118527,1.188006,-13.033417,25.854776,2.633108,2.476711,2.172415,-69.585509,-43.549491,3.401425,2.611929,1.541005,3.412159,-69.160051,-72.733931,46.958467,2.776815,-1.004078,-0.847670,-53.343574,-55.050134,33.247952,-0.605846,-0.973763,-1.676379,0.000000,0.000000,-0.000000,-2.181255,-0.219165,-0.124000,3
-35.552134,173.793465,84.764720,20.587616,6.492208,-3.832860,3.312574,22.477864,-65.537131,1.921091,-0.986541,1.341868,12.892108,26.504868,-22.774829,1.766539,-1.298398,1.170442,-2.062530,28.300348,24.660822,2.823587,-1.002622,1.262139,-13.430183,38.064352,10.706326,2.825702,1.063429,1.517973,-0.000000,0.000002,0.000001,1.201827,2.083314,0.526786,-53.297877,-5.314474,7.271869,5.149786,-1.535168,8.328105,-62.868872,-130.866079,122.915211,3.736639,0.423068,0.493267,-66.020152,-39.562768,31.697485,-0.392512,-0.634059,-2.313129,0.000000,0.000000,-0.000000,-2.188480,-0.267139,-0.389585,-66.530324,-32.500140,29.992178,4.837948,0.675080,8.228954,-68.787008,-106.198086,90.763496,4.239913,-0.072599,-0.667165,-68.961399,-30.106669,24.619871,-0.699951,-0.872286,-2.517732,0.000000,0.000000,-0.000000,-2.442561,-0.507099,-0.151938,-68.107881,-56.610351,50.197035,4.957197,2.464581,7.175970,-65.219884,-91.968856,72.053843,3.733127,-0.487888,-1.016199,-58.538968,-48.509930,33.147952,-0.805910,-1.132110,-2.265012,0.000000,0.000000,-0.000000,-2.411061,-0.333853,-0.139476,1.270848,-13.408861,25.648037,2.599197,2.479472,2.209781,-70.187284,-43.133917,2.661173,2.559740,1.544741,3.449813,-69.474037,-72.005072,45.999304,2.779824,-1.013165,-0.826737,-53.543194,-54.708404,32.633028,-0.592057,-0.970475,-1.683198,-0.000000,0.000000,-0.000000,-2.180433,-0.213682,-0.146073,3
-36.349414,174.761159,84.265927,20.727506,6.402186,-3.812359,2.860177,23.608303,-65.261682,1.914565,-0.950769,1.376569,12.186548,27.043963,-22.730466,1.766155,-1.265856,1.206125,-1.999236,28.144804,24.891212,2.823686,-0.955795,1.297745,-13.633606,37.598490,11.059101,2.796761,1.113358,1.535668,-0.000000,-0.000000,0.000000,1.177018,2.098249,0.523514,-53.654916,-6.803218,8.709780,5.056532,-1.394001,8.409674,-61.952838,-129.004496,120.921855,3.729878,0.465993,0.505606,-65.389511,-41.245724,33.290132,-0.375668,-0.661857,-2.308134,0.000000,0.000000,-0.000000,-2.184400,-0.292779,-0.394027,-66.171811,-34.923442,32.282505,4.720130,0.811341,8.284881,-67.779022,-105.278021,89.661844,4.245034,-0.036783,-0.636852,-68.439793,-32.179843,26.615861,-0.672313,-0.904574,-2.513867,-0.000000,0.000001,0.000000,-2.436165,-0.533314,-0.164374,-67.389212,-58.724665,52.082809,4.832335,2.591943,7.216154,-64.296429,-91.541460,71.423810,3.743869,-0.463270,-0.987804,-57.903943,-49.399699,33.845465,-0.775770,-1.161893,-2.260448,-0.000001,0.000002,0.000000,-2.406527,-0.358919,-0.154699,1.744887,-13.659872,25.431034,2.540396,2.531212,2.219481,-70.364163,-45.202892,4.516097,2.495463,1.608021,3.467944,-68.784726,-72.347034,46.232659,2.791668,-0.998442,-0.804441,-52.922801,-54.993577,32.761634,-0.572141,-0.989247,-1.679153,0.000000,0.000000,-0.000000,-2.176989,-0.235863,-0.162392,3
-36.992935,175.296283,84.056539,20.825226,6.301786,-3.791377,2.642372,24.431621,-65.026374,1.907219,-0.929978,1.400757,11.718202,27.426384,-22.691159,1.763009,-1.246823,1.230309,-1.891647,28.007740,25.057221,2.823517,-0.927541,1.318450,-13.666484,37.184813,11.274791,2.777455,1.143375,1.548597,-0.000000,0.000002,0.000001,1.163160,2.105241,0.526408,-54.015714,-7.770886,9.675187,4.979809,-1.316183,8.467794,-61.407979,-127.963382,119.822833,3.726632,0.489291,0.507527,-64.990907,-42.122045,34.128674,-0.369322,-0.676740,-2.304840,0.000000,0.000000,-0.000000,-2.182794,-0.306436,-0.392545,-66.052637,-36.477384,33.755524,4.628546,0.885989,8.328790,-67.242734,-104.833585,89.123280,4.247799,-0.016761,-0.619009,-68.149421,-33.241655,27.643837,-0.655601,-0.921414,-2.512164,0.000000,0.000000,-0.000000,-2.432379,-0.547850,-0.172431,-67.022986,-59.990462,53.204503,4.738681,2.662212,7.252588,-63.849610,-91.227784,71.008200,3.749474,-0.450378,-0.972385,-57.573434,-49.793012,34.136586,-0.756790,-1.177171,-2.258977,0.000000,0.000000,-0.000000,-2.403740,-0.372763,-0.164948,2.031197,-13.867340,25.262223,2.498790,2.560540,2.233029,-70.611350,-46.248035,5.418545,2.447784,1.643056,3.485459,-68.511796,-72.288330,46.155394,2.796632,-0.992085,-0.795004,-52.634316,-54.943357,32.656005,-0.561219,-0.997459,-1.677980,0.000000,0.000000,-0.000000,-2.174609,-0.248670,-0.174710,3
-37.249140,175.728643,83.798278,20.859875,6.254022,-3.760721,2.352831,24.803249,-64.967232,1.906968,-0.913832,1.411683,11.312267,27.605109,-22.843488,1.765533,-1.231420,1.242147,-1.834524,28.027951,25.021186,2.829718,-0.905295,1.320616,-13.652085,36.903825,11.182604,2.771308,1.165276,1.543276,0.000000,-0.000002,-0.000001,1.160931,2.107377,0.522770,-54.379754,-8.632878,10.472703,4.957626,-1.250397,8.490749,-60.929639,-127.093006,118.885688,3.727460,0.504615,0.485987,-64.623139,-42.877122,34.827372,-0.378649,-0.691856,-2.298831,0.000000,0.000000,-0.000000,-2.183760,-0.315903,-0.379448,-65.979954,-37.858956,35.025196,4.596209,0.949338,8.339711,-66.741970,-104.434475,88.634190,4.246320,-0.007225,-0.629255,-67.896871,-34.127737,28.447389,-0.658532,-0.936742,-2.505721,-0.000000,-0.000000,0.000000,-2.431104,-0.556148,-0.163626,-66.716463,-61.128052,54.197113,4.701386,2.720760,7.255132,-63.401546,-90.918888,70.635111,3.749169,-0.444686,-0.976172,-57.245814,-50.153383,34.432542,-0.752162,-1.190602,-2.253478,0.000000,0.000000,-0.000000,-2.402313,-0.382344,-0.163801,2.229697,-13.914428,25.195716,2.478888,2.583560,2.228692,-70.733466,-47.713856,6.672103,2.428103,1.672010,3.485456,-68.188724,-72.278000,46.121913,2.795917,-0.990845,-0.799055,-52.303576,-54.868797,32.608408,-0.560405,-1.004340,-1.674143,0.000000,0.000000,-0.000000,-2.173364,-0.257748,-0.177030,3
-37.533348,176.027062,83.706931,20.886976,6.191950,-3.721075,2.189143,25.184686,-64.871787,1.904363,-0.902570,1.422404,11.096227,27.772053,-22.825700,1.765606,-1.220291,1.252979,-1.761964,27.872435,25.058990,2.833774,-0.888575,1.323272,-13.600069,36.401328,11.131202,2.765021,1.180829,1.542730,-0.000000,0.000002,0.000001,1.160887,2.106927,0.524680,-54.657358,-9.251931,11.069988,4.926055,-1.207343,8.515320,-60.608146,-126.523849,118.285065,3.728162,0.515015,0.469408,-64.361697,-43.306935,35.233135,-0.386128,-0.702002,-2.294507,0.000000,0.000000,-0.000000,-2.184517,-0.322349,-0.369538,-65.931417,-38.807083,35.914903,4.556993,0.990568,8.356419,-66.428506,-104.140065,88.288680,4.245411,-0.001023,-0.635396,-67.725244,-34.703992,28.988970,-0.660014,-0.946138,-2.501797,0.000000,0.000000,-0.000000,-2.430238,-0.561438,-0.158341,-66.521151,-61.939409,54.917893,4.660114,2.759266,7.267207,-63.128690,-90.620749,70.302299,3.749390,-0.440923,-0.977032,-57.033352,-50.359672,34.595373,-0.746460,-1.198506,-2.251183,-0.000000,-0.000000,0.000000,-2.401063,-0.389152,-0.166077,2.377264,-13.993827,25.120054,2.459603,2.599283,2.231775,-70.882236,-48.607033,7.444787,2.406897,1.691145,3.490928,-68.003661,-72.150259,46.000215,2.795027,-0.990835,-0.802180,-52.074110,-54.683401,32.457866,-0.558826,-1.007147,-1.672984,-0.000001,0.000001,0.000000,-2.172009,-0.264848,-0.183073,3
-37.820058,176.259921,83.646133,20.899836,6.135760,-3.687888,2.099192,25.582747,-64.749942,1.900199,-0.894057,1.433308,10.939617,27.941731,-22.756209,1.764143,-1.211517,1.263509,-1.663669,27.654414,25.117887,2.832236,-0.875422,1.335277,-13.517842,35.865984,11.103428,2.756067,1.187868,1.553313,-0.000000,0.000000,-0.000000,1.171149,2.098347,0.536132,-54.926853,-9.757947,11.577316,4.887713,-1.177324,8.541577,-60.373312,-126.113132,117.865840,3.727687,0.523933,0.463267,-64.165415,-43.583530,35.504404,-0.387717,-0.708762,-2.292160,0.000000,0.000000,-0.000000,-2.184132,-0.328021,-0.366813,-65.930857,-39.582955,36.654400,4.512360,1.019117,8.377181,-66.226286,-103.916014,88.037781,4.245946,0.005981,-0.631786,-67.606603,-35.090785,29.365761,-0.654918,-0.952519,-2.500715,0.000000,0.000000,-0.000000,-2.428882,-0.566800,-0.160040,-66.407763,-62.635020,55.544654,4.615170,2.786334,7.285537,-62.966583,-90.339491,70.006348,3.751312,-0.436188,-0.971765,-56.895893,-50.470874,34.678504,-0.736417,-1.204115,-2.251497,0.000001,-0.000002,-0.000000,-2.399411,-0.396051,-0.173489,2.497005,-14.095787,25.036201,2.440136,2.610907,2.239562,-71.087523,-49.231509,7.983350,2.384126,1.704689,3.499955,-67.917497,-71.936932,45.815518,2.796100,-0.989311,-0.800315,-51.918902,-54.419302,32.243589,-0.553672,-1.009077,-1.673535,0.000000,0.000000,-0.000000,-2.170071,-0.272870,-0.193949,3
-37.677955,176.694369,83.518623,20.863632,6.122892,-3.627214,1.629738,25.678457,-64.835883,1.909637,-0.879102,1.430010,10.731815,27.912066,-22.949758,1.776003,-1.196701,1.261012,-1.487175,27.605372,24.962250,2.842852,-0.853014,1.327194,-13.343218,35.452719,10.824864,2.755356,1.201881,1.543765,0.000000,-0.000002,-0.000001,1.181364,2.091851,0.539098,-55.141706,-10.379226,12.356367,4.918102,-1.128591,8.530704,-59.908764,-125.187930,117.293042,3.728754,0.544570,0.429662,-63.806872,-44.069961,36.232989,-0.403753,-0.717779,-2.286578,0.000000,0.000000,-0.000000,-2.185250,-0.340650,-0.348171,-65.783779,-40.536696,37.811548,4.528550,1.065104,8.362711,-65.706748,-103.391102,87.814461,4.241601,0.025792,-0.659852,-67.359729,-35.787735,30.269182,-0.665200,-0.962067,-2.494338,-0.000000,-0.000000,0.000000,-2.426836,-0.579810,-0.143621,-66.073744,-63.393025,56.522797,4.617328,2.830611,7.267079,-62.461838,-89.968384,69.958553,3.747153,-0.420342,-0.994529,-56.553590,-50.745204,35.210592,-0.739530,-1.213058,-2.245669,-0.000000,-0.000000,0.000000,-2.397731,-0.410514,-0.162760,2.668320,-13.989469,25.058780,2.429782,2.630874,2.227419,-71.084124,-51.047714,9.905556,2.382864,1.726998,3.489863,-67.508555,-72.081725,46.256624,2.794185,-0.979450,-0.818917,-51.528483,-54.307300,32.488339,-0.557958,-1.013635,-1.669352,0.000000,0.000000,-0.000000,-2.168587,-0.287990,-0.188612,3
-37.649541,177.071249,83.425273,20.820332,6.102299,-3.574829,1.290631,25.873996,-64.852307,1.914728,-0.867376,1.430363,10.552058,27.937176,-23.073251,1.783613,-1.184742,1.261563,-1.291406,27.456564,24.846627,2.848921,-0.834718,1.325815,-13.223716,35.238896,10.726445,2.752479,1.209695,1.542793,0.000000,-0.000002,-0.000001,1.194275,2.082307,0.547534,-55.268563,-10.865018,13.006920,4.927251,-1.092210,8.530160,-59.525883,-124.453506,116.817415,3.728998,0.560877,0.405912,-63.492286,-44.390468,36.736947,-0.414650,-0.724558,-2.282487,0.000000,0.000000,-0.000000,-2.185652,-0.350697,-0.335440,-65.661263,-41.215739,38.652785,4.526280,1.099222,8.359524,-65.339140,-103.054673,87.711318,4.238672,0.041583,-0.677622,-67.179145,-36.268418,30.923513,-0.670128,-0.968892,-2.490374,-0.000000,-0.000000,-0.000000,-2.424897,-0.590181,-0.133797,-65.820518,-63.913416,57.214147,4.605484,2.863763,7.261603,-62.111766,-89.815588,70.035048,3.744744,-0.407733,-1.008751,-56.309237,-50.893921,35.553714,-0.738533,-1.219396,-2.242562,0.000000,-0.000000,0.000000,-2.395979,-0.422361,-0.158191,2.810123,-13.948522,25.049823,2.417009,2.646263,2.223083,-71.065995,-52.044936,11.023488,2.375270,1.743770,3.486698,-67.261915,-72.217078,46.616451,2.793067,-0.971887,-0.831643,-51.273564,-54.191460,32.619281,-0.559359,-1.016336,-1.667240,0.000000,0.000000,-0.000000,-2.166837,-0.300795,-0.188745,3
-36.981638,177.444318,83.202404,20.778757,6.142416,-3.486262,0.701325,25.428786,-65.162126,1.933811,-0.856783,1.410943,10.392161,27.661812,-23.532208,1.803200,-1.173357,1.244241,-1.171587,27.539456,24.411021,2.868469,-0.818626,1.293301,-13.084417,35.215423,10.188165,2.769764,1.212933,1.508946,-0.000000,-0.000000,0.000000,1.209088,2.076937,0.535283,-55.392482,-11.343580,13.586957,5.028405,-1.049708,8.476298,-59.078267,-123.610437,116.282240,3.733213,0.572717,0.346256,-63.101201,-44.768990,37.315159,-0.447655,-0.735445,-2.272750,0.000000,0.000000,-0.000000,-2.189153,-0.358577,-0.302678,-65.513304,-41.909066,39.503513,4.618459,1.139892,8.303471,-64.815871,-102.605478,87.549294,4.228556,0.048912,-0.737677,-66.958974,-36.847422,31.638144,-0.702532,-0.978647,-2.477596,0.000000,0.000000,-0.000000,-2.425134,-0.596230,-0.097864,-65.498539,-64.439648,57.955008,4.679373,2.901213,7.199232,-61.549674,-89.632311,70.178656,3.731146,-0.403016,-1.059742,-55.929581,-51.141009,36.088926,-0.765710,-1.228164,-2.228619,0.000000,0.000000,-0.000000,-2.396676,-0.429193,-0.125947,2.887262,-13.634937,25.207719,2.433871,2.660910,2.186907,-70.733482,-54.038095,13.055925,2.409552,1.762269,3.453719,-66.757094,-72.588077,47.229683,2.783625,-0.968556,-0.866457,-50.836496,-54.210541,33.021856,-0.577999,-1.021489,-1.657705,0.000000,0.000000,0.000000,-2.167451,-0.309695,-0.165916,3
-36.528126,177.797428,83.052724,20.736231,6.169585,-3.396203,0.224579,25.193598,-65.362820,1.947417,-0.847444,1.397809,10.210872,27.484618,-23.907622,1.818048,-1.162918,1.232377,-1.010565,27.528464,24.055486,2.882733,-0.803520,1.270865,-12.985047,35.356410,9.872227,2.781396,1.213546,1.486895,0.000000,-0.000002,-0.000001,1.222258,2.070726,0.529403,-55.529384,-11.794898,14.152585,5.097363,-1.014439,8.439323,-58.686054,-122.889372,115.825237,3.735316,0.584235,0.301432,-62.732251,-44.990076,37.712686,-0.471665,-0.744601,-2.264898,0.000000,0.000000,-0.000000,-2.190976,-0.366357,-0.279267,-65.398468,-42.524299,40.260462,4.679138,1.173455,8.264734,-64.398102,-102.231893,87.422843,4.220591,0.056631,-0.781440,-66.774865,-37.307646,32.227454,-0.725412,-0.986267,-2.467963,0.000000,0.000000,-0.000000,-2.424616,-0.602036,-0.071644,-65.250820,-64.975027,58.665079,4.725885,2.932430,7.156072,-61.112935,-89.472494,70.294755,3.721005,-0.397609,-1.096795,-55.627366,-51.300287,36.491578,-0.784692,-1.235012,-2.218208,0.000001,-0.000002,-0.000000,-2.396586,-0.435758,-0.103028,2.964952,-13.415872,25.309802,2.442314,2.673576,2.161904,-70.517375,-55.561916,14.618451,2.430683,1.777762,3.430896,-66.397029,-72.823842,47.683476,2.777109,-0.964606,-0.891413,-50.518332,-54.173715,33.304974,-0.590503,-1.025208,-1.650988,0.000000,0.000000,-0.000000,-2.167320,-0.318090,-0.151084,3
-35.557603,177.551426,82.626462,20.638369,6.246278,-3.327518,0.111508,24.005337,-65.799609,1.962248,-0.860508,1.368786,10.271655,27.005807,-24.469244,1.828753,-1.172993,1.206723,-1.231420,27.658780,23.405264,2.898739,-0.823080,1.220958,-13.028519,35.642061,9.001469,2.824070,1.180086,1.432389,-0.000000,0.000002,0.000001,1.260187,2.055028,0.500878,-55.819556,-11.886259,13.753180,5.231601,-1.022616,8.355775,-58.779983,-123.250924,115.615211,3.747004,0.545021,0.218369,-62.647814,-44.881049,37.163561,-0.527694,-0.754685,-2.249145,0.000000,0.000000,-0.000000,-2.199622,-0.345112,-0.234830,-65.645369,-42.739748,39.957483,4.833550,1.168625,8.176078,-64.442861,-102.331604,87.037824,4.204621,0.003476,-0.865097,-66.864124,-37.242983,31.609832,-0.784847,-0.991704,-2.447514,0.000000,0.000000,-0.000000,-2.432240,-0.574566,-0.020614,-65.449281,-65.452101,58.655717,4.879687,2.920922,7.056867,-61.051069,-89.485030,69.949147,3.693175,-0.447918,-1.169084,-55.547250,-51.333748,36.258397,-0.842778,-1.237805,-2.195223,0.000003,0.000002,-0.000001,-2.402877,-0.409015,-0.054913,2.706726,-13.021929,25.576590,2.507452,2.659158,2.104353,-70.113166,-56.714728,15.086629,2.508315,1.770460,3.378391,-66.236039,-72.834922,47.252246,2.747633,-1.002270,-0.939884,-50.351507,-54.092125,33.108434,-0.633356,-1.025484,-1.634855,0.000001,-0.000001,-0.000000,-2.172747,-0.295955,-0.113424,3
-34.749003,177.372201,82.266008,20.549290,6.311927,-3.263329,-0.019775,23.048487,-66.143230,1.974292,-0.870644,1.344848,10.302450,26.605293,-24.947918,1.838103,-1.180058,1.185441,-1.391055,27.760168,22.861949,2.912156,-0.837357,1.178588,-13.065593,35.930702,8.307854,2.858805,1.150721,1.386647,-0.000000,0.000002,0.000001,1.291362,2.041288,0.477090,-56.014195,-11.960272,13.414770,5.341630,-1.027486,8.285265,-58.846798,-123.524629,115.427201,3.754953,0.513308,0.147038,-62.589374,-44.862635,36.789654,-0.575069,-0.763648,-2.234458,0.000000,0.000000,-0.000000,-2.205787,-0.328427,-0.198040,-65.817821,-42.931537,39.721846,4.959499,1.166178,8.100651,-64.450854,-102.392205,86.705638,4.189339,-0.040170,-0.935453,-66.916903,-37.231933,31.147997,-0.834425,-0.996231,-2.429206,0.000000,0.000000,-0.000000,-2.437440,-0.552012,0.022563,-65.592476,-65.972541,58.770470,5.004381,2.912719,6.972427,-60.960735,-89.492584,69.668907,3.668014,-0.489514,-1.230031,-55.455954,-51.386880,36.098656,-0.891528,-1.239970,-2.174648,0.000000,0.000000,-0.000000,-2.407095,-0.387063,-0.014264,2.497722,-12.694315,25.787980,2.559532,2.647704,2.055528,-69.802941,-57.881070,15.666761,2.571118,1.765055,3.333712,-66.090503,-72.855834,46.917632,2.721946,-1.033250,-0.980218,-50.220649,-54.053824,32.990481,-0.668975,-1.025262,-1.620746,0.000000,0.000000,-0.000000,-2.176531,-0.277917,-0.082219,3
-34.330336,177.291085,82.046772,20.463487,6.353742,-3.220746,-0.132681,22.575274,-66.321308,1.980855,-0.875561,1.331942,10.280660,26.389509,-25.255801,1.844536,-1.181880,1.173575,-1.414102,27.736207,22.518888,2.920775,-0.841960,1.153717,-13.061712,36.129617,7.925930,2.878129,1.132765,1.361223,0.000000,-0.000002,-0.000001,1.306558,2.034657,0.463861,-56.164816,-12.072862,13.307069,5.401101,-1.028167,8.246535,-58.848419,-123.614796,115.274298,3.758576,0.496491,0.106666,-62.514064,-44.847638,36.587840,-0.601531,-0.768833,-2.225695,0.000000,0.000000,-0.000000,-2.208842,-0.319680,-0.177211,-65.926088,-43.147281,39.697692,5.027050,1.166628,8.058840,-64.438066,-102.402251,86.510729,4.179894,-0.064000,-0.975518,-66.937286,-37.246095,30.917588,-0.862300,-0.998705,-2.418432,0.000000,0.000000,-0.000000,-2.439841,-0.539714,0.047174,-65.678636,-66.485609,59.048114,5.070758,2.909882,6.925497,-60.888740,-89.485089,69.517269,3.651566,-0.513881,-1.268433,-55.384209,-51.402194,36.012765,-0.921611,-1.241083,-2.161432,0.000000,0.000000,-0.000000,-2.409118,-0.374372,0.011089,2.389938,-12.514968,25.898924,2.586801,2.642129,2.028387,-69.688045,-58.750072,16.174460,2.604459,1.762918,3.308870,-66.029969,-72.834767,46.718340,2.704908,-1.052126,-1.006936,-50.158136,-53.973458,32.902775,-0.691691,-1.023723,-1.612161,0.000000,0.000000,-0.000000,-2.178617,-0.266494,-0.062384,3
-33.546438,177.165240,81.548960,20.388668,6.447781,-3.186987,-0.354840,21.642752,-66.650015,1.992991,-0.882135,1.309309,10.245280,25.994666,-25.750276,1.854653,-1.185350,1.153966,-1.594746,27.843529,21.970622,2.933784,-0.851913,1.112674,-13.139795,36.389748,7.220431,2.909355,1.110746,1.312101,-0.000000,0.000002,0.000001,1.330719,2.025618,0.433758,-56.306509,-12.324079,13.094414,5.510692,-1.016032,8.175226,-58.794399,-123.713496,114.845557,3.763634,0.467108,0.040498,-62.367448,-45.025525,36.364610,-0.644673,-0.780013,-2.209670,0.000000,0.000000,-0.000000,-2.213688,-0.303911,-0.140735,-65.984223,-43.536504,39.605639,5.150763,1.180318,7.978323,-64.294890,-102.374761,86.028239,4.162968,-0.105658,-1.042005,-66.895566,-37.489410,30.659997,-0.909008,-1.007187,-2.397720,-0.000000,-0.000000,0.000000,-2.443165,-0.518902,0.089601,-65.677940,-67.137381,59.235277,5.191539,2.915745,6.832925,-60.642588,-89.489651,69.174606,3.623950,-0.555586,-1.328622,-55.180820,-51.575205,35.925890,-0.970136,-1.247021,-2.136637,0.000000,0.000000,0.000000,-2.411730,-0.353220,0.054022,2.213631,-12.177821,26.096220,2.635700,2.635238,1.973664,-69.266351,-60.160860,16.941940,2.664988,1.764295,3.259572,-65.750028,-72.967582,46.437905,2.676710,-1.084196,-1.047453,-49.932214,-54.043305,32.843560,-0.728754,-1.025601,-1.594544,0.000000,0.000000,-0.000000,-2.181610,-0.247314,-0.026428,3
