WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-35.996467,178.108544,35.322637,-20.429392,-3.465701,17.728650,30.245323,56.975349,137.129575,-1.049700,-2.006900,-1.155400,37.784427,72.745938,-176.578405,-2.219734,-3.807001,-2.407232,26.240526,114.113342,-163.466637,-2.981891,-6.260933,-4.399272,21.186767,137.953281,-144.810841,-1.743574,-9.027495,-5.893401,9.444062,98.295231,94.098234,-2.355067,-9.599621,-0.731645,15.783009,99.278660,91.319311,-1.815292,-13.301799,-1.353973,14.023573,102.370314,90.237181,-1.438202,-15.609934,-2.015020,49.452282,101.670673,89.618724,-0.172591,-9.564658,-0.254315,37.361287,-76.038859,-89.134982,0.391909,-12.297568,-3.516185,-24.938626,-68.685521,-100.047901,-0.136388,-10.172545,-5.187999,56.244108,98.416993,81.201860,1.746524,-8.869377,-0.652931,28.285128,-65.637399,-82.914562,2.063698,-11.012876,-3.895112,-36.614297,-68.125490,-86.650859,1.098404,-8.881198,-5.154317,5.368742,105.384590,66.581594,2.299857,-3.407354,-0.941983,53.765514,86.163594,64.332637,3.505405,-7.789581,-1.369117,33.516205,-54.150694,-75.065068,3.383909,-9.601367,-3.847037,-32.462575,-66.023776,-74.851705,2.392150,-8.228750,-4.968574,21.186767,137.953281,-144.810841,-0.124164,-10.653057,-6.786232,14.023573,102.370315,90.237182,-0.939604,-17.747296,-2.457361,-24.938626,-68.685521,-100.047901,-0.928758,-8.003535,-4.232023,-36.614297,-68.125490,-86.650859,0.350085,-6.973415,-3.833518,-32.462575,-66.023774,-74.851706,1.565545,-6.506843,-3.885502,2
-36.023624,178.229455,35.343923,-20.436295,-3.459920,17.717536,30.231543,56.952875,137.118523,-1.049700,-2.006900,-1.155400,37.799290,72.719730,-176.601280,-2.220604,-3.806795,-2.406716,26.256525,114.125999,-163.457305,-2.983730,-6.259884,-4.399422,21.173873,138.003974,-144.785934,-1.744972,-9.025792,-5.894397,9.636956,98.344959,94.108376,-2.355067,-9.599621,-0.731645,16.285731,99.338004,91.335856,-1.812386,-13.299235,-1.366565,14.658122,102.436714,90.284565,-1.433862,-15.601166,-2.048106,49.415644,101.653849,89.617649,-0.172591,-9.564658,-0.254315,37.239813,-76.056244,-89.134413,0.391528,-12.299776,-3.514400,-25.164983,-68.675437,-100.083852,-0.136977,-10.171157,-5.181568,56.221978,98.393863,81.203516,1.746524,-8.869377,-0.652931,28.251571,-65.666882,-82.913590,2.063016,-11.014243,-3.894275,-36.697198,-68.160751,-86.649599,1.098514,-8.881396,-5.152109,5.368740,105.384587,66.581606,2.299857,-3.407354,-0.941983,53.781842,86.117910,64.315096,3.505404,-7.789581,-1.369117,33.465431,-54.193952,-75.075056,3.382512,-9.600565,-3.847554,-32.543222,-66.072361,-74.845329,2.391208,-8.226395,-4.967590,21.173873,138.003974,-144.785934,-0.123988,-10.650040,-6.786763,14.658122,102.436714,90.284565,-0.933953,-17.733058,-2.514702,-25.164983,-68.675437,-100.083852,-0.928282,-8.005810,-4.216450,-36.697198,-68.160751,-86.649599,0.352079,-6.974930,-3.828346,-32.543221,-66.072363,-74.845328,1.566673,-6.505190,-3.881827,2
-35.972838,178.427968,35.191513,-20.440411,-3.453327,17.703050,30.207178,56.913862,137.099302,-1.049700,-2.006900,-1.155400,37.857670,72.675826,-176.637397,-2.222120,-3.806443,-2.405802,26.313589,114.133699,-163.427437,-2.986520,-6.257007,-4.401126,21.165642,138.092073,-144.714911,-1.748000,-9.021388,-5.899118,9.770462,98.420948,94.117470,-2.355067,-9.599621,-0.731645,16.742864,99.423720,91.350543,-1.807698,-13.297039,-1.375277,15.276374,102.529532,90.328388,-1.426633,-15.592963,-2.075408,49.325245,101.645462,89.617232,-0.172591,-9.564658,-0.254315,37.220362,-76.063447,-89.131027,0.392165,-12.304892,-3.509989,-25.266315,-68.668682,-100.098600,-0.136209,-10.175658,-5.176413,56.154588,98.389263,81.215863,1.746524,-8.869377,-0.652931,28.260950,-65.683451,-82.905208,2.063399,-11.018038,-3.891722,-36.737193,-68.190103,-86.642540,1.099600,-8.885101,-5.149940,5.368748,105.384589,66.581599,2.299857,-3.407354,-0.941983,53.796047,86.080836,64.300323,3.505404,-7.789581,-1.369118,33.425440,-54.228151,-75.083119,3.381383,-9.599872,-3.848005,-32.612096,-66.112295,-74.839799,2.390442,-8.224476,-4.966858,21.165642,138.092073,-144.714911,-0.124462,-10.643187,-6.791296,15.276374,102.529532,90.328388,-0.924466,-17.719026,-2.565580,-25.266315,-68.668682,-100.098600,-0.927119,-8.011993,-4.207209,-36.737193,-68.190103,-86.642540,0.354465,-6.979117,-3.824750,-32.612096,-66.112295,-74.839799,1.567627,-6.503899,-3.878798,2
-35.908952,178.623700,35.048950,-20.447065,-3.447919,17.694025,30.175873,56.864028,137.074748,-1.049700,-2.006900,-1.155400,37.933522,72.619941,-176.683199,-2.224058,-3.805994,-2.404629,26.388534,114.139215,-163.390517,-2.990058,-6.253289,-4.403349,21.165044,138.188808,-144.627509,-1.752075,-9.015760,-5.905302,9.896835,98.504628,94.126694,-2.355067,-9.599621,-0.731645,17.193722,99.517333,91.365361,-1.802510,-13.294822,-1.383519,15.894794,102.630650,90.372337,-1.418617,-15.584617,-2.101942,49.223263,101.638413,89.616938,-0.172591,-9.564658,-0.254315,37.214740,-76.069082,-89.127138,0.392996,-12.310633,-3.505004,-25.355902,-68.661305,-100.111317,-0.135208,-10.181189,-5.171213,56.078403,98.387991,81.230214,1.746524,-8.869377,-0.652931,28.272688,-65.698547,-82.895928,2.063980,-11.022304,-3.888832,-36.781070,-68.219423,-86.634815,1.100848,-8.889347,-5.147528,5.368740,105.384596,66.581607,2.299857,-3.407354,-0.941983,53.810475,86.045967,64.285819,3.505405,-7.789581,-1.369117,33.384813,-54.260730,-75.091606,3.380325,-9.599173,-3.848461,-32.683842,-66.150945,-74.834247,2.389703,-8.222571,-4.966112,21.165044,138.188808,-144.627509,-0.125839,-10.634771,-6.797631,15.894794,102.630651,90.372337,-0.913959,-17.704526,-2.615641,-25.355902,-68.661305,-100.111317,-0.925820,-8.019036,-4.198398,-36.781070,-68.219423,-86.634815,0.357045,-6.983933,-3.820774,-32.683841,-66.150947,-74.834246,1.568592,-6.502694,-3.875661,2
-35.672608,178.893242,34.893150,-20.463785,-3.435193,17.680899,30.145417,56.815638,137.050926,-1.049700,-2.006900,-1.155400,38.040991,72.567921,-176.723354,-2.225940,-3.805557,-2.403486,26.488723,114.140152,-163.335038,-2.993038,-6.248574,-4.407013,21.171560,138.295918,-144.509145,-1.756085,-9.008624,-5.914258,9.987785,98.595733,94.134849,-2.355067,-9.599621,-0.731645,17.565998,99.617101,91.378156,-1.796790,-13.292911,-1.389449,16.445160,102.737283,90.410254,-1.409699,-15.577383,-2.122943,49.046535,101.638941,89.617261,-0.172591,-9.564658,-0.254315,37.361915,-76.064125,-89.118904,0.395042,-12.320436,-3.496341,-25.252003,-68.665265,-100.090709,-0.132314,-10.195198,-5.168180,55.949879,98.406796,81.256608,1.746524,-8.869377,-0.652931,28.353337,-65.696972,-82.876245,2.065747,-11.029375,-3.883942,-36.753528,-68.241407,-86.619400,1.103287,-8.898062,-5.145932,5.368744,105.384591,66.581604,2.299857,-3.407354,-0.941983,53.777167,86.058461,64.306813,3.505405,-7.789581,-1.369118,33.417936,-54.257586,-75.077654,3.380620,-9.600638,-3.847407,-32.694998,-66.173218,-74.823014,2.390301,-8.224614,-4.966038,21.171560,138.295918,-144.509145,-0.126963,-10.624456,-6.807083,16.445160,102.737283,90.410254,-0.902272,-17.691459,-2.657530,-25.252003,-68.665265,-100.090709,-0.923456,-8.031357,-4.199557,-36.753528,-68.241407,-86.619400,0.359937,-6.991783,-3.820164,-32.695000,-66.173217,-74.823015,1.569926,-6.504627,-3.875206,2
-35.458943,179.127492,34.779699,-20.480613,-3.424129,17.670280,30.111987,56.762419,137.024771,-1.049700,-2.006900,-1.155400,38.166255,72.510661,-176.766983,-2.228010,-3.805073,-2.402232,26.604829,114.139952,-163.270039,-2.996230,-6.243138,-4.411352,21.183901,138.410197,-144.373475,-1.760538,-9.000400,-5.924723,10.070176,98.692644,94.142960,-2.355067,-9.599621,-0.731645,17.922310,99.722596,91.390757,-1.790688,-13.291023,-1.394820,16.983193,102.849776,90.447314,-1.400169,-15.570238,-2.142708,48.844303,101.641724,89.617754,-0.172591,-9.564658,-0.254315,37.547318,-76.056094,-89.109319,0.397481,-12.331598,-3.486390,-25.102797,-68.671201,-100.062163,-0.128866,-10.211696,-5.165305,55.802329,98.432241,81.287095,1.746524,-8.869377,-0.652931,28.454187,-65.690303,-82.853144,2.067925,-11.037456,-3.878308,-36.707986,-68.261651,-86.601508,1.106133,-8.908283,-5.144412,5.368743,105.384595,66.581602,2.299857,-3.407354,-0.941983,53.736211,86.079919,64.333691,3.505405,-7.789581,-1.369118,33.463481,-54.247366,-75.060105,3.381177,-9.602452,-3.846108,-32.698531,-66.192328,-74.810673,2.391133,-8.227327,-4.966087,21.183901,138.410197,-144.373475,-0.128411,-10.612773,-6.818312,16.983193,102.849775,90.447314,-0.889793,-17.678346,-2.697668,-25.102797,-68.671201,-100.062163,-0.920752,-8.045440,-4.202707,-36.707986,-68.261651,-86.601508,0.363019,-7.000780,-3.820275,-32.698531,-66.192328,-74.810673,1.571340,-6.507143,-3.875128,2
-35.240035,179.247075,34.637869,-20.495648,-3.424477,17.661614,30.091298,56.729594,137.008643,-1.049700,-2.006900,-1.155400,38.328031,72.481449,-176.782727,-2.229286,-3.804773,-2.401456,26.735945,114.162332,-163.163921,-2.997039,-6.237028,-4.417785,21.186619,138.555228,-144.192149,-1.761691,-8.990639,-5.938066,10.110074,98.763907,94.148088,-2.355067,-9.599621,-0.731645,18.160108,99.799905,91.398791,-1.786167,-13.289861,-1.397420,17.370116,102.932251,90.472429,-1.393105,-15.565468,-2.154899,48.647484,101.646095,89.618345,-0.172591,-9.564658,-0.254315,37.752067,-76.046186,-89.099699,0.399930,-12.342413,-3.476666,-24.915762,-68.680017,-100.027551,-0.125334,-10.228437,-5.163377,55.675966,98.459120,81.313550,1.746524,-8.869377,-0.652931,28.533492,-65.680936,-82.834339,2.069988,-11.044336,-3.873467,-36.685279,-68.275167,-86.587197,1.108570,-8.916919,-5.142803,5.368748,105.384594,66.581608,2.299857,-3.407354,-0.941983,53.707303,86.102619,64.353998,3.505405,-7.789581,-1.369118,33.514179,-54.228301,-75.044430,3.381810,-9.603747,-3.845192,-32.698990,-66.200398,-74.801269,2.391888,-8.229756,-4.966669,21.186619,138.555228,-144.192149,-0.125613,-10.598742,-6.832126,17.370116,102.932251,90.472429,-0.880588,-17.669153,-2.724480,-24.915762,-68.680017,-100.027551,-0.918088,-8.059156,-4.208338,-36.685279,-68.275167,-86.587197,0.365673,-7.008766,-3.819481,-32.698990,-66.200398,-74.801269,1.572326,-6.509477,-3.875687,2
-35.015728,179.390100,34.507785,-20.508272,-3.424329,17.655780,30.073095,56.700632,136.994428,-1.049700,-2.006900,-1.155400,38.506124,72.458014,-176.792055,-2.230412,-3.804508,-2.400773,26.876738,114.190776,-163.042952,-2.997267,-6.230460,-4.425020,21.188399,138.710831,-143.992155,-1.762087,-8.980042,-5.952713,10.139257,98.830859,94.152549,-2.355067,-9.599621,-0.731645,18.372328,99.872422,91.405829,-1.781908,-13.288858,-1.399322,17.724923,103.009610,90.495009,-1.386449,-15.561187,-2.165349,48.444359,101.651918,89.619014,-0.172591,-9.564658,-0.254315,37.971849,-76.034526,-89.089656,0.402516,-12.353525,-3.466591,-24.706722,-68.689619,-99.989315,-0.121613,-10.245952,-5.161645,55.548815,98.488652,81.340250,1.746524,-8.869377,-0.652931,28.614331,-65.668964,-82.815452,2.072163,-11.051232,-3.868579,-36.662036,-68.286161,-86.572992,1.111040,-8.925650,-5.141208,5.368747,105.384591,66.581606,2.299857,-3.407354,-0.941983,53.675551,86.131383,64.376974,3.505405,-7.789581,-1.369118,33.574846,-54.202724,-75.026506,3.382628,-9.605178,-3.844183,-32.692081,-66.203937,-74.791839,2.392788,-8.232593,-4.967453,21.188399,138.710831,-143.992155,-0.121771,-10.583560,-6.847242,17.724923,103.009610,90.495009,-0.871935,-17.660712,-2.748315,-24.706722,-68.689619,-99.989315,-0.915336,-8.073318,-4.215068,-36.662036,-68.286159,-86.572993,0.368272,-7.016869,-3.818720,-32.692079,-66.203938,-74.791839,1.573265,-6.512154,-3.876693,2
-34.780340,179.547799,34.428214,-20.514222,-3.427133,17.659204,30.056844,56.675257,136.981953,-1.049700,-2.006900,-1.155400,38.695577,72.439411,-176.796205,-2.231402,-3.804280,-2.400163,27.024106,114.223397,-162.911505,-2.997021,-6.223588,-4.432812,21.188974,138.873445,-143.779157,-1.761892,-8.968874,-5.968253,10.160659,98.894201,94.156522,-2.355067,-9.599621,-0.731645,18.566578,99.940989,91.412133,-1.777868,-13.287975,-1.400716,18.056598,103.082806,90.515774,-1.380141,-15.557258,-2.174559,48.237968,101.658946,89.619761,-0.172591,-9.564658,-0.254315,38.200950,-76.021433,-89.079351,0.405193,-12.364769,-3.456313,-24.482972,-68.699477,-99.948748,-0.117776,-10.263909,-5.160037,55.421820,98.520060,81.366911,1.746524,-8.869377,-0.652931,28.695707,-65.654989,-82.796641,2.074414,-11.058097,-3.863681,-36.638948,-68.295104,-86.558968,1.113518,-8.934398,-5.139623,5.368746,105.384591,66.581602,2.299857,-3.407354,-0.941983,53.641333,86.165138,64.402203,3.505405,-7.789581,-1.369118,33.646725,-54.170844,-75.006016,3.383599,-9.606725,-3.843096,-32.675965,-66.203170,-74.782445,2.393821,-8.235834,-4.968488,21.188974,138.873445,-143.779157,-0.117147,-10.567598,-6.863229,18.056598,103.082805,90.515774,-0.863752,-17.652814,-2.770018,-24.482972,-68.699477,-99.948748,-0.912538,-8.087725,-4.222530,-36.638948,-68.295104,-86.558968,0.370814,-7.025018,-3.817963,-32.675965,-66.203172,-74.782444,1.574136,-6.515138,-3.878256,2
-34.523892,179.656082,34.532189,-20.517932,-3.427690,17.665854,30.051330,56.666462,136.977642,-1.049700,-2.006900,-1.155400,38.868997,72.441081,-176.783099,-2.231744,-3.804198,-2.399956,27.148406,114.273253,-162.776533,-2.995433,-6.217652,-4.440276,21.182449,139.025273,-143.579654,-1.759288,-8.958819,-5.982244,10.202043,98.950153,94.160961,-2.355068,-9.599621,-0.731645,18.740657,100.001344,91.418912,-1.774342,-13.286931,-1.403412,18.336232,103.147270,90.535147,-1.374635,-15.553468,-2.184252,48.068792,101.667475,89.620556,-0.172591,-9.564658,-0.254315,38.391456,-76.008054,-89.070968,0.407518,-12.373930,-3.447857,-24.298021,-68.704646,-99.915523,-0.114568,-10.278700,-5.158770,55.340898,98.539636,81.383773,1.746523,-8.869377,-0.652931,28.740110,-65.647451,-82.785300,2.075834,-11.062467,-3.860553,-36.650172,-68.303097,-86.550923,1.115067,-8.939796,-5.138300,5.368738,105.384588,66.581604,2.299857,-3.407354,-0.941983,53.637482,86.170684,64.405364,3.505404,-7.789582,-1.369117,33.703527,-54.150239,-74.992944,3.383764,-9.606902,-3.842973,-32.675018,-66.207423,-74.776652,2.394146,-8.237273,-4.970040,21.182449,139.025273,-143.579654,-0.110335,-10.553127,-6.877357,18.336232,103.147269,90.535147,-0.856589,-17.645597,-2.790226,-24.298021,-68.704646,-99.915523,-0.910290,-8.099648,-4.228771,-36.650172,-68.303097,-86.550923,0.372703,-7.030560,-3.816240,-32.675018,-66.207423,-74.776652,1.574573,-6.516507,-3.879836,2
-34.271059,179.787457,34.645734,-20.525214,-3.430423,17.675308,30.048782,56.662403,136.975653,-1.049700,-2.006900,-1.155400,39.042702,72.448420,-176.764870,-2.231902,-3.804161,-2.399860,27.270331,114.326943,-162.638087,-2.993412,-6.211804,-4.447846,21.173754,139.176861,-143.379046,-1.756054,-8.948815,-5.996209,10.242459,99.002833,94.165179,-2.355068,-9.599621,-0.731645,18.906312,100.058231,91.425399,-1.771027,-13.285927,-1.406045,18.600968,103.208152,90.553624,-1.369466,-15.549833,-2.193535,47.905042,101.677211,89.621396,-0.172591,-9.564658,-0.254315,38.579064,-75.993592,-89.062821,0.409841,-12.382758,-3.439646,-24.113185,-68.708710,-99.882557,-0.111416,-10.293107,-5.157620,55.267599,98.558390,81.399063,1.746523,-8.869377,-0.652931,28.778964,-65.639824,-82.775211,2.077163,-11.066415,-3.857713,-36.666562,-68.309729,-86.543908,1.116471,-8.944662,-5.137040,5.368743,105.384595,66.581593,2.299857,-3.407354,-0.941983,53.638232,86.173618,64.405489,3.505405,-7.789581,-1.369117,33.765485,-54.127589,-74.979470,3.383859,-9.606876,-3.842997,-32.669698,-66.209609,-74.771698,2.394415,-8.238627,-4.971891,21.173754,139.176861,-143.379046,-0.102887,-10.538723,-6.891374,18.600968,103.208152,90.553624,-0.849873,-17.638673,-2.809453,-24.113185,-68.708710,-99.882557,-0.908130,-8.111225,-4.235134,-36.666562,-68.309729,-86.543908,0.374449,-7.035698,-3.814396,-32.669698,-66.209609,-74.771698,1.574859,-6.517742,-3.881859,2
-34.052918,179.899261,34.864189,-20.526043,-3.433143,17.696934,30.044458,56.655741,136.972371,-1.049700,-2.006900,-1.155400,39.192114,72.450765,-176.752735,-2.232163,-3.804102,-2.399698,27.381479,114.354474,-162.529571,-2.991962,-6.206676,-4.454262,21.172292,139.295342,-143.211673,-1.754529,-8.940351,-6.008448,10.273507,99.041595,94.168338,-2.355068,-9.599621,-0.731645,19.093571,100.101809,91.430945,-1.768590,-13.285169,-1.408068,18.883460,103.256188,90.572371,-1.365761,-15.546224,-2.203068,47.734220,101.685927,89.622163,-0.172591,-9.564658,-0.254315,38.763617,-75.980022,-89.054379,0.412190,-12.391957,-3.431052,-23.931864,-68.713580,-99.849959,-0.108218,-10.307809,-5.155955,55.195933,98.575249,81.413803,1.746523,-8.869377,-0.652931,28.813770,-65.634081,-82.765534,2.078406,-11.070280,-3.854931,-36.673293,-68.316888,-86.536701,1.117823,-8.949331,-5.135673,5.368739,105.384590,66.581596,2.299857,-3.407354,-0.941983,53.648482,86.168456,64.398829,3.505404,-7.789581,-1.369117,33.812313,-54.111263,-74.970749,3.383725,-9.606424,-3.843323,-32.646424,-66.204145,-74.771880,2.394432,-8.239204,-4.973596,21.172292,139.295342,-143.211673,-0.098144,-10.526750,-6.903889,18.883460,103.256189,90.572371,-0.845152,-17.631657,-2.829581,-23.931864,-68.713580,-99.849959,-0.905863,-8.123162,-4.240849,-36.673293,-68.316888,-86.536701,0.376077,-7.040426,-3.812790,-32.646424,-66.204145,-74.771880,1.574534,-6.517993,-3.884339,2
-33.789110,-179.888031,35.062231,-20.524919,-3.441403,17.734316,30.041228,56.650680,136.969880,-1.049700,-2.006900,-1.155400,39.335757,72.454883,-176.739403,-2.232360,-3.804056,-2.399576,27.489009,114.377070,-162.426914,-2.990431,-6.201766,-4.460451,21.171720,139.405377,-143.051962,-1.753126,-8.932291,-6.020267,10.302320,99.075984,94.171194,-2.355067,-9.599621,-0.731645,19.280270,100.141050,91.436179,-1.766432,-13.284481,-1.409944,19.161732,103.299945,90.590732,-1.362512,-15.542696,-2.212424,47.565727,101.694999,89.622940,-0.172591,-9.564658,-0.254315,38.946067,-75.966106,-89.046014,0.414530,-12.401000,-3.422548,-23.751353,-68.718007,-99.817642,-0.105050,-10.322318,-5.154282,55.128271,98.591368,81.427692,1.746524,-8.869377,-0.652931,28.845186,-65.628624,-82.756552,2.079591,-11.073924,-3.852301,-36.680037,-68.323440,-86.529937,1.119095,-8.953707,-5.134319,5.368748,105.384589,66.581597,2.299857,-3.407354,-0.941983,53.662478,86.160756,64.389610,3.505404,-7.789581,-1.369118,33.858129,-54.095290,-74.962841,3.383521,-9.605804,-3.843768,-32.617755,-66.196196,-74.773451,2.394378,-8.239593,-4.975391,21.171720,139.405377,-143.051962,-0.093770,-10.515415,-6.916003,19.161732,103.299945,90.590732,-0.841048,-17.624756,-2.849359,-23.751353,-68.718007,-99.817642,-0.903629,-8.134945,-4.246532,-36.680037,-68.323440,-86.529937,0.377607,-7.044867,-3.811196,-32.617753,-66.196197,-74.773450,1.574023,-6.517995,-3.887088,2
-33.491875,-179.660392,35.271256,-20.520796,-3.453534,17.783781,30.039097,56.647016,136.968108,-1.049700,-2.006900,-1.155400,39.475562,72.460563,-176.724896,-2.232500,-3.804019,-2.399496,27.594336,114.395398,-162.328564,-2.988816,-6.197002,-4.466501,21.171988,139.508788,-142.897612,-1.751824,-8.924515,-6.031825,10.329504,99.106990,94.173828,-2.355067,-9.599621,-0.731645,19.467936,100.176938,91.441205,-1.764488,-13.283843,-1.411715,19.438736,103.340446,90.608950,-1.359621,-15.539207,-2.221704,47.398262,101.704451,89.623737,-0.172590,-9.564658,-0.254315,39.127657,-75.951830,-89.037692,0.416874,-12.409959,-3.414069,-23.570622,-68.722087,-99.785409,-0.101889,-10.336741,-5.152585,55.063409,98.607026,81.440968,1.746524,-8.869377,-0.652931,28.874184,-65.623331,-82.748064,2.080736,-11.077412,-3.849775,-36.686559,-68.329468,-86.523493,1.120312,-8.957875,-5.132970,5.368746,105.384593,66.581605,2.299857,-3.407354,-0.941983,53.680207,86.150520,64.377876,3.505405,-7.789581,-1.369118,33.902483,-54.079900,-74.955888,3.383249,-9.605018,-3.844331,-32.585505,-66.186342,-74.776219,2.394252,-8.239782,-4.977259,21.171988,139.508788,-142.897612,-0.089693,-10.504545,-6.927879,19.438736,103.340446,90.608950,-0.837432,-17.617887,-2.868999,-23.570622,-68.722087,-99.785409,-0.901407,-8.146665,-4.252208,-36.686559,-68.329468,-86.523493,0.379063,-7.049103,-3.809617,-32.585506,-66.186340,-74.776220,1.573359,-6.517762,-3.890032,2
-33.126642,-179.467471,35.647179,-20.531373,-3.477798,17.861309,30.033985,56.639116,136.964221,-1.049700,-2.006900,-1.155400,39.555550,72.456421,-176.723246,-2.232809,-3.803949,-2.399305,27.662420,114.385265,-162.284771,-2.988427,-6.194123,-4.469811,21.179436,139.556578,-142.814858,-1.752687,-8.920159,-6.038692,10.361746,99.131912,94.176360,-2.355067,-9.599621,-0.731645,19.668697,100.207020,91.446344,-1.762947,-13.283208,-1.413814,19.740649,103.375622,90.628387,-1.357401,-15.535551,-2.231828,47.253120,101.713887,89.624508,-0.172591,-9.564658,-0.254315,39.265278,-75.938713,-89.030802,0.418965,-12.417690,-3.406698,-23.448982,-68.720468,-99.763239,-0.099256,-10.348648,-5.150342,55.003380,98.627369,81.453859,1.746524,-8.869377,-0.652931,28.879747,-65.616354,-82.742562,2.082021,-11.080604,-3.847433,-36.720170,-68.331526,-86.519062,1.121391,-8.961297,-5.130855,5.368746,105.384598,66.581603,2.299857,-3.407354,-0.941983,53.719058,86.135127,64.353388,3.505405,-7.789581,-1.369118,33.909739,-54.069749,-74.961855,3.382874,-9.603310,-3.845564,-32.597295,-66.174552,-74.781526,2.393720,-8.238366,-4.978706,21.179435,139.556580,-142.814857,-0.089367,-10.498676,-6.935209,19.740649,103.375622,90.628388,-0.834766,-17.610574,-2.890397,-23.448982,-68.720468,-99.763239,-0.899569,-8.156826,-4.254934,-36.720170,-68.331526,-86.519062,0.380486,-7.053224,-3.806301,-32.597295,-66.174552,-74.781526,1.572571,-6.516712,-3.891091,2
