WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-25.277089,-173.735850,54.883276,-21.218665,-10.060903,22.741793,26.257892,51.275176,134.469006,-1.049700,-2.006900,-1.155400,40.661920,65.096964,176.950066,-2.443945,-3.745746,-2.254911,31.538544,110.590532,-164.850175,-3.482474,-5.982755,-4.373433,13.633072,152.667869,-139.421319,-2.469564,-8.678909,-6.141055,58.012282,103.788901,99.855065,-2.355067,-9.599621,-0.731645,14.939440,-82.947218,-94.428279,-1.876195,-11.550867,-3.948490,-58.617269,-74.549313,-100.641616,-2.164517,-9.220421,-4.575033,70.908574,98.862795,89.115496,-0.172591,-9.564658,-0.254315,13.682508,-78.728314,-89.841298,0.043728,-10.951934,-4.310905,-55.896617,-63.834555,-109.374121,-0.479478,-8.326791,-4.962566,78.375104,76.081951,64.041766,1.746524,-8.869377,-0.652931,11.351636,-72.204028,-85.504951,1.557516,-9.632091,-4.472547,-58.487480,-71.632375,-90.066774,0.761247,-7.151401,-4.995590,5.368743,105.384595,66.581594,2.299857,-3.407354,-0.941983,73.417823,27.252871,14.908131,3.505405,-7.789581,-1.369118,11.449695,-68.745985,-80.409725,2.725997,-8.191052,-4.313393,-57.459808,-78.758286,-75.298455,2.004356,-6.335742,-4.716588,13.633073,152.667868,-139.421320,-0.405733,-9.882487,-6.736107,-58.617269,-74.549313,-100.641616,-2.450194,-8.006742,-2.715475,-55.896617,-63.834555,-109.374121,-1.072159,-6.968878,-2.949821,-58.487480,-71.632375,-90.066774,0.342044,-5.806411,-3.005767,-57.459808,-78.758286,-75.298455,1.702519,-5.097761,-2.928410,4
-25.035824,-173.745337,55.096420,-21.215386,-10.092839,22.751591,26.262428,51.281164,134.471620,-1.049700,-2.006900,-1.155400,40.604340,65.109466,176.954893,-2.443709,-3.745824,-2.255087,31.492092,110.591371,-164.886549,-3.482645,-5.984990,-4.371130,13.633192,152.657963,-139.479176,-2.469192,-8.682469,-6.136416,58.045873,103.805257,99.865991,-2.355067,-9.599621,-0.731645,14.811057,-82.933034,-94.427999,-1.876088,-11.548899,-3.949668,-58.744645,-74.504640,-100.677350,-2.165159,-9.217136,-4.570947,70.913165,98.870541,89.116329,-0.172591,-9.564658,-0.254315,13.569399,-78.721787,-89.842068,0.043866,-10.951584,-4.311017,-56.029111,-63.768909,-109.442087,-0.479890,-8.325244,-4.957393,78.389448,76.072007,64.014239,1.746524,-8.869377,-0.652931,11.348897,-72.186583,-85.507361,1.557614,-9.631130,-4.472744,-58.434136,-71.610662,-90.066978,0.760582,-7.150659,-4.995662,5.368745,105.384590,66.581607,2.299857,-3.407354,-0.941983,73.463482,26.685005,14.336185,3.505405,-7.789581,-1.369118,11.238341,-68.779131,-80.443013,2.724153,-8.182254,-4.314091,-57.628030,-78.769791,-75.306588,2.003052,-6.325152,-4.709940,13.633192,152.657963,-139.479176,-0.405552,-9.886431,-6.731354,-58.744645,-74.504640,-100.677350,-2.450612,-8.007676,-2.708609,-56.029111,-63.768909,-109.442087,-1.071935,-6.972197,-2.941186,-58.434136,-71.610662,-90.066978,0.340286,-5.804071,-3.007151,-57.628030,-78.769791,-75.306588,1.702501,-5.092257,-2.918036,4
-24.852132,-173.784108,55.304389,-21.201385,-10.128088,22.762818,26.267041,51.287002,134.474173,-1.049700,-2.006900,-1.155400,40.547843,65.122067,176.959886,-2.443476,-3.745897,-2.255267,31.445434,110.596498,-164.919697,-3.482797,-5.987183,-4.368874,13.632692,152.649422,-139.535284,-2.468597,-8.685916,-6.131813,58.076514,103.821371,99.876045,-2.355067,-9.599621,-0.731645,14.680490,-82.917927,-94.427520,-1.875951,-11.547092,-3.950741,-58.874144,-74.458634,-100.713569,-2.165811,-9.214008,-4.566664,70.916962,98.879383,89.117285,-0.172591,-9.564658,-0.254315,13.453784,-78.714284,-89.842856,0.044038,-10.951285,-4.311110,-56.165827,-63.699628,-109.512890,-0.480316,-8.323739,-4.952081,78.404193,76.061136,63.985683,1.746524,-8.869377,-0.652931,11.343799,-72.169207,-85.509893,1.557706,-9.630140,-4.472946,-58.384636,-71.588802,-90.067541,0.759907,-7.149866,-4.995632,5.368747,105.384591,66.581598,2.299857,-3.407354,-0.941983,73.509125,26.086844,13.736002,3.505405,-7.789581,-1.369118,11.020195,-68.815357,-80.477105,2.722203,-8.173045,-4.314787,-57.804158,-78.785298,-75.313835,2.001737,-6.314096,-4.703048,13.632692,152.649422,-139.535284,-0.405114,-9.890215,-6.726615,-58.874144,-74.458634,-100.713569,-2.451042,-8.008844,-2.701508,-56.165827,-63.699629,-109.512889,-1.071725,-6.975735,-2.932313,-58.384636,-71.588800,-90.067543,0.338557,-5.801809,-3.008340,-57.804158,-78.785298,-75.313835,1.702605,-5.086519,-2.907259,4
-24.404793,-173.830969,55.552286,-21.197956,-10.152418,22.763290,26.285637,51.310827,134.484609,-1.049700,-2.006900,-1.155400,40.513200,65.159543,176.988195,-2.442530,-3.746198,-2.255990,31.400722,110.631821,-164.918101,-3.480921,-5.989322,-4.368104,13.582247,152.696605,-139.562533,-2.464573,-8.688716,-6.128792,58.078776,103.823259,99.876861,-2.355067,-9.599621,-0.731645,14.569838,-82.908103,-94.425277,-1.875917,-11.546953,-3.950820,-58.984160,-74.425789,-100.741058,-2.166323,-9.212742,-4.562202,70.911925,98.881473,89.117714,-0.172591,-9.564658,-0.254315,13.295517,-78.713044,-89.843237,0.044144,-10.951629,-4.310987,-56.354388,-63.613291,-109.610327,-0.480612,-8.322369,-4.944554,78.401603,76.095701,63.999006,1.746524,-8.869377,-0.652931,11.330235,-72.149265,-85.511482,1.558124,-9.630422,-4.472910,-58.357331,-71.565880,-90.067577,0.759424,-7.150308,-4.994980,5.368751,105.384597,66.581609,2.299857,-3.407354,-0.941983,73.536290,25.717609,13.365357,3.505405,-7.789581,-1.369118,10.855007,-68.842652,-80.500382,2.721007,-8.167383,-4.315200,-57.946130,-78.805678,-75.311545,2.001026,-6.307055,-4.697712,13.582247,152.696605,-139.562533,-0.399626,-9.891568,-6.721436,-58.984160,-74.425789,-100.741058,-2.451233,-8.011201,-2.694661,-56.354388,-63.613291,-109.610327,-1.070904,-6.981231,-2.919895,-58.357331,-71.565880,-90.067577,0.337235,-5.801521,-3.008361,-57.946130,-78.805678,-75.311545,1.703191,-5.083744,-2.898799,4
-24.019276,-173.827585,55.755555,-21.179849,-10.173799,22.762264,26.307399,51.338765,134.496850,-1.049700,-2.006900,-1.155400,40.482326,65.202550,177.021565,-2.441420,-3.746550,-2.256836,31.355388,110.674903,-164.908887,-3.478605,-5.991486,-4.367618,13.522705,152.753888,-139.584610,-2.459736,-8.691418,-6.126023,58.076933,103.823619,99.876360,-2.355067,-9.599621,-0.731645,14.458811,-82.898287,-94.422740,-1.875881,-11.547051,-3.950755,-59.094532,-74.393242,-100.768297,-2.166832,-9.211718,-4.557578,70.905279,98.883460,89.118175,-0.172591,-9.564658,-0.254315,13.128179,-78.711945,-89.843579,0.044265,-10.952087,-4.310824,-56.547098,-63.525521,-109.710069,-0.480901,-8.321033,-4.936558,78.396996,76.135958,64.017269,1.746524,-8.869377,-0.652931,11.315598,-72.128675,-85.512975,1.558585,-9.630852,-4.472847,-58.333162,-71.542445,-90.067641,0.758953,-7.150899,-4.994252,5.368743,105.384595,66.581602,2.299857,-3.407354,-0.941983,73.561501,25.362165,13.009624,3.505405,-7.789581,-1.369118,10.692025,-68.870545,-80.522821,2.719850,-8.161955,-4.315582,-58.088259,-78.828760,-75.307581,2.000385,-6.300269,-4.692418,13.522706,152.753887,-139.584610,-0.393034,-9.892497,-6.716141,-59.094532,-74.393242,-100.768297,-2.451407,-8.013813,-2.687652,-56.547098,-63.525521,-109.710069,-1.070014,-6.986917,-2.906922,-58.333162,-71.542445,-90.067641,0.335947,-5.801489,-3.008229,-58.088259,-78.828760,-75.307581,1.703901,-5.081224,-2.890389,4
-23.674126,-173.831649,55.925146,-21.159510,-10.195469,22.770245,26.331816,51.370245,134.510651,-1.049700,-2.006900,-1.155400,40.454673,65.250426,177.059445,-2.440171,-3.746947,-2.257786,31.309495,110.724361,-164.893298,-3.475906,-5.993675,-4.367373,13.453707,152.821664,-139.602115,-2.454209,-8.694042,-6.123467,58.071958,103.822795,99.874897,-2.355068,-9.599621,-0.731645,14.347854,-82.888560,-94.420014,-1.875842,-11.547329,-3.950581,-59.204867,-74.361012,-100.795274,-2.167335,-9.210884,-4.552845,70.897291,98.885343,89.118670,-0.172591,-9.564658,-0.254315,12.955195,-78.710996,-89.843899,0.044397,-10.952638,-4.310628,-56.740842,-63.437422,-109.810736,-0.481180,-8.319753,-4.928259,78.390752,76.180888,64.039595,1.746523,-8.869377,-0.652931,11.299541,-72.107629,-85.514432,1.559082,-9.631403,-4.472762,-58.312045,-71.518644,-90.067731,0.758494,-7.151605,-4.993436,5.368743,105.384588,66.581604,2.299857,-3.407354,-0.941983,73.585148,25.017255,12.665354,3.505404,-7.789581,-1.369118,10.530687,-68.898962,-80.544589,2.718724,-8.156705,-4.315941,-58.230553,-78.854084,-75.302249,1.999803,-6.293680,-4.687155,13.453710,152.821666,-139.602114,-0.385451,-9.893007,-6.710673,-59.204867,-74.361012,-100.795274,-2.451565,-8.016616,-2.680542,-56.740842,-63.437422,-109.810736,-1.069074,-6.992703,-2.893644,-58.312045,-71.518645,-90.067730,0.334696,-5.801678,-3.007934,-58.230553,-78.854087,-75.302246,1.704715,-5.078905,-2.882016,4
-23.174132,-173.722678,56.109558,-21.137437,-10.230460,22.751482,26.336888,51.376741,134.513500,-1.049700,-2.006900,-1.155400,40.405575,65.263382,177.065506,-2.439913,-3.747029,-2.257983,31.275221,110.699051,-164.939184,-3.475896,-5.995631,-4.365449,13.433040,152.833769,-139.652377,-2.455020,-8.697432,-6.119816,58.078124,103.825256,99.876851,-2.355067,-9.599621,-0.731645,14.269232,-82.882067,-94.418749,-1.875841,-11.546972,-3.950797,-59.282977,-74.337167,-100.815802,-2.167701,-9.209742,-4.549830,70.889001,98.878173,89.118054,-0.172591,-9.564658,-0.254315,12.882814,-78.717676,-89.843545,0.044315,-10.953245,-4.310425,-56.833707,-63.400385,-109.860038,-0.481108,-8.319535,-4.924664,78.373520,76.239689,64.084560,1.746524,-8.869377,-0.652931,11.293018,-72.094680,-85.514043,1.559592,-9.632711,-4.472526,-58.296048,-71.506318,-90.065387,0.758425,-7.153037,-4.992903,5.368742,105.384592,66.581597,2.299857,-3.407354,-0.941983,73.600065,24.775892,12.432066,3.505405,-7.789581,-1.369117,10.394115,-68.930300,-80.560597,2.717881,-8.153066,-4.316167,-58.363831,-78.893645,-75.288336,1.999664,-6.288828,-4.682620,13.433041,152.833768,-139.652377,-0.385805,-9.896080,-6.706057,-59.282977,-74.337167,-100.815802,-2.451701,-8.018057,-2.675847,-56.833707,-63.400386,-109.860037,-1.068286,-6.995822,-2.887669,-58.296048,-71.506316,-90.065388,0.334154,-5.802677,-3.007797,-58.363831,-78.893644,-75.288337,1.706199,-5.077990,-2.874573,4
-22.756021,-173.621141,56.281252,-21.109993,-10.266385,22.738764,26.341261,51.382230,134.515915,-1.049700,-2.006900,-1.155400,40.355726,65.274861,177.070281,-2.439693,-3.747096,-2.258153,31.241812,110.669259,-164.988270,-3.475992,-5.997571,-4.363465,13.412330,152.845875,-139.703749,-2.456161,-8.700859,-6.116146,58.083253,103.827230,99.878487,-2.355067,-9.599621,-0.731645,14.194071,-82.875975,-94.417518,-1.875842,-11.546676,-3.950977,-59.357629,-74.314492,-100.835418,-2.168047,-9.208699,-4.546919,70.879454,98.869744,89.117355,-0.172590,-9.564658,-0.254315,12.815749,-78.725530,-89.843116,0.044215,-10.953945,-4.310191,-56.918002,-63.368874,-109.904571,-0.480986,-8.319460,-4.921285,78.352727,76.305994,64.137581,1.746524,-8.869377,-0.652931,11.286160,-72.082356,-85.513326,1.560148,-9.634274,-4.472240,-58.282396,-71.495186,-90.062601,0.758428,-7.154713,-4.992306,5.368746,105.384589,66.581610,2.299857,-3.407354,-0.941983,73.613751,24.545879,12.211383,3.505405,-7.789581,-1.369118,10.259222,-68.962493,-80.575959,2.717069,-8.149609,-4.316374,-58.497461,-78.935943,-75.272864,1.999591,-6.284168,-4.678123,13.412331,152.845874,-139.703750,-0.386488,-9.899190,-6.701419,-59.357629,-74.314492,-100.835418,-2.451824,-8.019483,-2.671334,-56.918002,-63.368874,-109.904571,-1.067462,-6.998756,-2.882136,-58.282396,-71.495186,-90.062601,0.333737,-5.803988,-3.007537,-58.497461,-78.935943,-75.272864,1.707803,-5.077273,-2.867170,4
-22.132998,-173.684950,56.154396,-21.054789,-10.327699,22.713482,26.329007,51.366565,134.509036,-1.049700,-2.006900,-1.155400,40.310253,65.254966,177.048820,-2.440316,-3.746900,-2.257676,31.224146,110.625200,-165.046200,-3.478096,-5.998532,-4.361021,13.398326,152.861753,-139.748487,-2.460153,-8.703109,-6.112812,58.095361,103.837966,99.882860,-2.355067,-9.599621,-0.731645,14.138513,-82.865721,-94.417496,-1.875641,-11.545925,-3.951400,-59.412711,-74.290258,-100.851653,-2.168336,-9.207429,-4.545057,70.867246,98.866105,89.117299,-0.172591,-9.564658,-0.254315,12.800804,-78.729069,-89.842636,0.044259,-10.954812,-4.309891,-56.949068,-63.356129,-109.921937,-0.480810,-8.320139,-4.920285,78.336611,76.361651,64.179507,1.746524,-8.869377,-0.652931,11.281033,-72.069385,-85.512981,1.560637,-9.635498,-4.472019,-58.284026,-71.482783,-90.061752,0.758342,-7.156075,-4.991851,5.368745,105.384595,66.581601,2.299857,-3.407354,-0.941983,73.622441,24.417759,12.080899,3.505405,-7.789581,-1.369118,10.182723,-68.973215,-80.585501,2.716673,-8.147661,-4.316506,-58.565330,-78.946932,-75.268653,1.999372,-6.281636,-4.675585,13.398326,152.861753,-139.748487,-0.390007,-9.900952,-6.697408,-59.412711,-74.290258,-100.851653,-2.452098,-8.020073,-2.668292,-56.949068,-63.356129,-109.921937,-1.067050,-7.000556,-2.880342,-58.284026,-71.482783,-90.061752,0.333374,-5.805496,-3.007042,-58.565330,-78.946932,-75.268653,1.708219,-5.076796,-2.863163,4
-21.653697,-173.736891,56.157359,-21.004707,-10.380532,22.688694,26.313943,51.347525,134.500673,-1.049700,-2.006900,-1.155400,40.263151,65.230145,177.023017,-2.441076,-3.746664,-2.257091,31.208024,110.575390,-165.109073,-3.480554,-5.999415,-4.358397,13.382463,152.881206,-139.794456,-2.464791,-8.705338,-6.109374,58.108433,103.850509,99.887674,-2.355068,-9.599621,-0.731645,14.083632,-82.854201,-94.417622,-1.875391,-11.545107,-3.951857,-59.467077,-74.264573,-100.868047,-2.168627,-9.206106,-4.543257,70.852922,98.862278,89.117304,-0.172591,-9.564658,-0.254315,12.791737,-78.732830,-89.842082,0.044322,-10.955829,-4.309539,-56.971941,-63.347833,-109.934637,-0.480594,-8.321026,-4.919508,78.318245,76.422825,64.226691,1.746523,-8.869377,-0.652931,11.275928,-72.056167,-85.512463,1.561167,-9.636886,-4.471766,-58.288778,-71.470421,-90.060852,0.758286,-7.157604,-4.991366,5.368741,105.384589,66.581600,2.299857,-3.407354,-0.941983,73.630660,24.297445,11.957562,3.505404,-7.789581,-1.369117,10.109692,-68.982672,-80.594617,2.716307,-8.145830,-4.316630,-58.629817,-78.956481,-75.264811,1.999151,-6.279261,-4.673161,13.382462,152.881207,-139.794456,-0.394079,-9.902573,-6.693214,-59.467077,-74.264574,-100.868047,-2.452409,-8.020596,-2.665328,-56.971941,-63.347833,-109.934637,-1.066634,-7.002258,-2.878981,-58.288778,-71.470421,-90.060852,0.333077,-5.807273,-3.006440,-58.629817,-78.956481,-75.264811,1.708583,-5.076380,-2.859344,4
-21.287074,-173.797055,56.235095,-20.955497,-10.426079,22.666608,26.294322,51.322101,134.489542,-1.049700,-2.006900,-1.155400,40.212597,65.196777,176.989578,-2.442083,-3.746341,-2.256328,31.193904,110.516517,-165.180445,-3.483651,-6.000168,-4.355444,13.367509,152.901874,-139.843681,-2.470517,-8.707537,-6.105709,58.122438,103.864765,99.892889,-2.355067,-9.599621,-0.731645,14.028707,-82.841415,-94.417902,-1.875095,-11.544223,-3.952347,-59.521450,-74.237297,-100.884783,-2.168924,-9.204727,-4.541487,70.836604,98.858219,89.117331,-0.172591,-9.564658,-0.254315,12.787233,-78.736821,-89.841453,0.044402,-10.956985,-4.309138,-56.988307,-63.343131,-109.943597,-0.480340,-8.322099,-4.918896,78.297750,76.489123,64.278677,1.746524,-8.869377,-0.652931,11.270877,-72.042679,-85.511774,1.561737,-9.638428,-4.471483,-58.296067,-71.458066,-90.059845,0.758258,-7.159292,-4.990853,5.368739,105.384595,66.581600,2.299857,-3.407354,-0.941983,73.638565,24.182035,11.838567,3.505405,-7.789581,-1.369117,10.038790,-68.991207,-80.603513,2.715963,-8.144073,-4.316749,-58.692236,-78.964962,-75.261192,1.998927,-6.276987,-4.670805,13.367509,152.901874,-139.843681,-0.399222,-9.904117,-6.688824,-59.521450,-74.237297,-100.884783,-2.452755,-8.021072,-2.662396,-56.988307,-63.343131,-109.943597,-1.066209,-7.003901,-2.877952,-58.296067,-71.458066,-90.059845,0.332835,-5.809292,-3.005748,-58.692236,-78.964962,-75.261192,1.708909,-5.076007,-2.855641,4
-20.765097,-174.107059,56.366204,-20.899613,-10.465059,22.648761,26.275399,51.297596,134.478820,-1.049700,-2.006900,-1.155400,40.198790,65.162102,176.958732,-2.443054,-3.746029,-2.255592,31.201933,110.481347,-165.213848,-3.486199,-5.999685,-4.354110,13.314689,152.975349,-139.847971,-2.474812,-8.707445,-6.104780,58.181384,103.884894,99.911380,-2.355068,-9.599621,-0.731645,13.945576,-82.835825,-94.420280,-1.875208,-11.540837,-3.954406,-59.603383,-74.205974,-100.913927,-2.169371,-9.200523,-4.540124,70.852404,98.849508,89.115730,-0.172591,-9.564658,-0.254315,12.784922,-78.744023,-89.841560,0.044018,-10.955913,-4.309526,-57.000552,-63.342515,-109.951544,-0.480397,-8.320937,-4.919176,78.287279,76.525709,64.305846,1.746523,-8.869377,-0.652931,11.252816,-72.034943,-85.512127,1.562065,-9.639225,-4.471338,-58.346972,-71.449307,-90.063432,0.758201,-7.160041,-4.989887,5.368745,105.384592,66.581598,2.299857,-3.407354,-0.941983,73.638320,24.154059,11.823328,3.505404,-7.789581,-1.369118,9.999264,-69.010392,-80.605660,2.715778,-8.143693,-4.316746,-58.760147,-79.006118,-75.240977,1.999280,-6.276139,-4.669422,13.314688,152.975351,-139.847971,-0.401505,-9.901614,-6.685683,-59.603383,-74.205974,-100.913927,-2.453066,-8.019618,-2.659283,-57.000552,-63.342515,-109.951544,-1.066070,-7.003136,-2.877919,-58.346972,-71.449308,-90.063431,0.333142,-5.811777,-3.003524,-58.760147,-79.006118,-75.240977,1.710500,-5.077088,-2.852786,4
-20.302099,-174.254328,56.447635,-20.845550,-10.499915,22.625775,26.253499,51.269585,134.466557,-1.049700,-2.006900,-1.155400,40.187037,65.122021,176.923524,-2.444167,-3.745676,-2.254740,31.213595,110.443973,-165.247741,-3.489069,-5.998991,-4.352748,13.254301,153.060253,-139.848533,-2.479574,-8.707077,-6.104007,58.251961,103.908206,99.933541,-2.355067,-9.599621,-0.731645,13.853004,-82.830475,-94.423255,-1.875372,-11.536787,-3.956867,-59.694553,-74.171268,-100.947134,-2.169871,-9.195565,-4.538773,70.872084,98.839844,89.113891,-0.172591,-9.564658,-0.254315,12.782222,-78.751949,-89.841748,0.043570,-10.954573,-4.310010,-57.011694,-63.343315,-109.958871,-0.480487,-8.319496,-4.919532,78.277475,76.559980,64.331310,1.746524,-8.869377,-0.652931,11.232345,-72.028000,-85.512598,1.562374,-9.639971,-4.471203,-58.407255,-71.441085,-90.067831,0.758152,-7.160708,-4.988820,5.368747,105.384590,66.581605,2.299857,-3.407354,-0.941983,73.637081,24.136685,11.820797,3.505404,-7.789581,-1.369118,9.963953,-69.030935,-80.606954,2.715613,-8.143479,-4.316727,-58.829739,-79.052103,-75.218140,1.999706,-6.275466,-4.668171,13.254301,153.060253,-139.848533,-0.403955,-9.898449,-6.682390,-59.694553,-74.171268,-100.947134,-2.453405,-8.017720,-2.655989,-57.011694,-63.343315,-109.958871,-1.065949,-7.002043,-2.877991,-58.407255,-71.441085,-90.067831,0.333578,-5.814485,-3.000971,-58.829739,-79.052103,-75.218140,1.712268,-5.078378,-2.850028,4
-19.794723,-174.768654,56.271493,-20.764974,-10.573971,22.583095,26.208679,51.212161,134.441453,-1.049700,-2.006900,-1.155400,40.158766,65.040192,176.851199,-2.446447,-3.744947,-2.252996,31.240100,110.341458,-165.334993,-3.495003,-5.997706,-4.349779,13.263521,153.068405,-139.877349,-2.490636,-8.706834,-6.102374,58.325557,103.937013,99.957144,-2.355067,-9.599621,-0.731645,13.757373,-82.820986,-94.426593,-1.875396,-11.532523,-3.959428,-59.788672,-74.130735,-100.982123,-2.170404,-9.190389,-4.537394,70.868963,98.826921,89.112405,-0.172590,-9.564658,-0.254315,12.834434,-78.763175,-89.840960,0.043291,-10.954840,-4.309933,-56.968859,-63.372300,-109.936937,-0.480141,-8.320206,-4.921904,78.257554,76.613815,64.378815,1.746524,-8.869377,-0.652931,11.197188,-72.024823,-85.512613,1.562791,-9.641435,-4.470927,-58.503095,-71.437171,-90.073283,0.758334,-7.161915,-4.986945,5.368753,105.384600,66.581597,2.299857,-3.407354,-0.941983,73.636323,24.132871,11.823238,3.505405,-7.789581,-1.369118,9.971429,-69.035845,-80.605724,2.715555,-8.143442,-4.316716,-58.822454,-79.057178,-75.218237,1.999825,-6.275411,-4.668421,13.263521,153.068405,-139.877349,-0.414922,-9.897882,-6.681082,-59.788672,-74.130735,-100.982123,-2.453862,-8.015731,-2.652610,-56.968859,-63.372300,-109.936937,-1.065663,-7.001090,-2.881453,-58.503095,-71.437171,-90.073283,0.334743,-5.818872,-2.996736,-58.822455,-79.057176,-75.218239,1.712449,-5.078070,-2.850435,4
-19.401110,-175.107693,56.194668,-20.703234,-10.639630,22.538619,26.155293,51.144244,134.411795,-1.049700,-2.006900,-1.155400,40.126313,64.942974,176.765456,-2.449148,-3.744086,-2.250918,31.272381,110.219233,-165.438094,-3.502027,-5.996138,-4.346293,13.287984,153.061673,-139.912391,-2.503783,-8.706475,-6.100516,58.405700,103.968626,99.982999,-2.355067,-9.599621,-0.731645,13.656165,-82.810759,-94.430305,-1.875420,-11.527875,-3.962210,-59.888245,-74.087106,-101.019733,-2.170974,-9.184785,-4.536006,70.863471,98.812602,89.110813,-0.172591,-9.564658,-0.254315,12.898458,-78.775661,-89.840048,0.043002,-10.955278,-4.309798,-56.913627,-63.408251,-109.908348,-0.479722,-8.321203,-4.924770,78.235667,76.671013,64.430489,1.746524,-8.869377,-0.652931,11.156611,-72.022932,-85.512616,1.563225,-9.643037,-4.470624,-58.617599,-71.434390,-90.079909,0.758574,-7.163197,-4.984796,5.368743,105.384592,66.581600,2.299857,-3.407354,-0.941983,73.635193,24.135996,11.832368,3.505405,-7.789581,-1.369118,9.986836,-69.039140,-80.603757,2.715520,-8.143510,-4.316698,-58.803684,-79.057879,-75.221012,1.999931,-6.275525,-4.668941,13.287984,153.061673,-139.912391,-0.428418,-9.897671,-6.680172,-59.888245,-74.087106,-101.019733,-2.454360,-8.013504,-2.649110,-56.913627,-63.408251,-109.908348,-1.065352,-6.999958,-2.885729,-58.617599,-71.434390,-90.079909,0.336203,-5.823944,-2.991775,-58.803684,-79.057879,-75.221012,1.712462,-5.077593,-2.851359,4
